strategy,decision_date,execution_date,ticker,ETF_id,name,open,close,prev_qty,target_qty,delta_qty,side,prev_value_open,target_value_open,delta_value_open,trade_turnover_value,day_turnover_value,commission_allocated,day_commission,nav_open_pre,nav_open_post,nav_close,daily_return,stock_ratio,cash_weight,target_sleeve_weight,target_portfolio_weight,prev_portfolio_weight_open,actual_portfolio_weight_open,cash_after_rebalance,rebalanced
A2,2026-03-31,2026-04-01,139260,ETF_003,TIGER 200 IT,77999.0,80021.0,0.0,304.0,304.0,BUY,0.0,23711696.0,23711696.0,23711696.0,94942657.0,3556.7544,14241.398549999998,100000000.0,99985758.60145,101557732.60145,0.0155773260145,0.95,0.05,0.25,0.2375,0.0,0.2371507335811335,5043101.601449996,True
A2,2026-03-31,2026-04-01,227550,ETF_005,TIGER 200 산업재,13416.0,13848.0,0.0,1770.0,1770.0,BUY,0.0,23746320.0,23746320.0,23746320.0,94942657.0,3561.9479999999994,14241.398549999998,100000000.0,99985758.60145,101557732.60145,0.0155773260145,0.95,0.05,0.25,0.2375,0.0,0.2374970228975752,5043101.601449996,True
A2,2026-03-31,2026-04-01,266390,ETF_006,KODEX 경기소비재,10604.0,10668.0,0.0,2239.0,2239.0,BUY,0.0,23742356.0,23742356.0,23742356.0,94942657.0,3561.3533999999995,14241.398549999998,100000000.0,99985758.60145,101557732.60145,0.0155773260145,0.95,0.05,0.25,0.2375,0.0,0.2374573772514807,5043101.601449996,True
A2,2026-03-31,2026-04-01,476800,ETF_010,KODEX 한국부동산리츠인프라,4811.0,4821.0,0.0,4935.0,4935.0,BUY,0.0,23742285.0,23742285.0,23742285.0,94942657.0,3561.34275,14241.398549999998,100000000.0,99985758.60145,101557732.60145,0.0155773260145,0.95,0.05,0.25,0.2375,0.0,0.2374566671503524,5043101.601449996,True
A2,2026-04-01,2026-04-02,139260,ETF_003,TIGER 200 IT,80904.0,76098.0,304.0,303.0,-1.0,SELL,24594816.0,24513912.0,-80904.0,80904.0,516684.0,12.135599999999998,77.50259999999999,102657389.60145,102657312.09885,99551110.09885,-0.0197584413436515,0.95,0.05,0.2520486660721938,0.2394462327685841,0.2395815449378288,0.2387936280310481,5211516.098849997,True
A2,2026-04-01,2026-04-02,227550,ETF_005,TIGER 200 산업재,14124.0,13853.0,1770.0,1753.0,-17.0,SELL,24999480.0,24759372.0,-240108.0,240108.0,516684.0,36.01619999999999,77.50259999999999,102657389.60145,102657312.09885,99551110.09885,-0.0197584413436515,0.95,0.05,0.2539610807816278,0.2412630267425464,0.2435234335984605,0.2411846900507086,5211516.098849997,True
A2,2026-04-01,2026-04-02,266390,ETF_006,KODEX 경기소비재,10788.0,10285.0,2239.0,2237.0,-2.0,SELL,24154332.0,24132756.0,-21576.0,21576.0,516684.0,3.2364,77.50259999999999,102657389.60145,102657312.09885,99551110.09885,-0.0197584413436515,0.95,0.05,0.2474821874416118,0.2351080780695312,0.2352907286438426,0.2350807312854857,5211516.098849997,True
A2,2026-04-01,2026-04-02,476800,ETF_010,KODEX 한국부동산리츠인프라,4836.0,4826.0,4935.0,4971.0,36.0,BUY,23865660.0,24039756.0,174096.0,174096.0,516684.0,26.1144,77.50259999999999,102657389.60145,102657312.09885,99551110.09885,-0.0197584413436515,0.95,0.05,0.2465080657045666,0.2341826624193382,0.2324787342894106,0.2341748045852965,5211516.098849997,True
A2,2026-04-02,2026-04-03,139260,ETF_003,TIGER 200 IT,78364.0,78568.0,303.0,299.0,-4.0,SELL,23744292.0,23430836.0,-313456.0,313456.0,693546.0,47.0184,104.0319,101197109.09885,101197005.06695,100905544.06695,0.0136054130059937,0.95,0.05,0.244411630603371,0.2321910490732024,0.234634093912766,0.2315368521479327,5144778.066949993,True
A2,2026-04-02,2026-04-03,227550,ETF_005,TIGER 200 산업재,14079.0,14070.0,1753.0,1757.0,4.0,BUY,24680487.0,24736803.0,56316.0,56316.0,693546.0,8.4474,104.0319,101197109.09885,101197005.06695,100905544.06695,0.0136054130059937,0.95,0.05,0.2574137535508156,0.2445430658732748,0.2438852969198155,0.2444420463197958,5144778.066949993,True
A2,2026-04-02,2026-04-03,266390,ETF_006,KODEX 경기소비재,10459.0,10320.0,2237.0,2241.0,4.0,BUY,23396783.0,23438619.0,41836.0,41836.0,693546.0,6.275399999999999,104.0319,101197109.09885,101197005.06695,100905544.06695,0.0136054130059937,0.95,0.05,0.2438800510419835,0.2316860484898843,0.2312001124176963,0.2316137615386291,5144778.066949993,True
A2,2026-04-02,2026-04-03,476800,ETF_010,KODEX 한국부동산리츠인프라,4861.0,4856.0,4971.0,5029.0,58.0,BUY,24164031.0,24445969.0,281938.0,281938.0,693546.0,42.2907,104.0319,101197109.09885,101197005.06695,100905544.06695,0.0136054130059937,0.95,0.05,0.2542945648038299,0.2415798365636383,0.2387818309749977,0.2415681075129349,5144778.066949993,True
A2,2026-04-03,2026-04-06,139260,ETF_003,TIGER 200 IT,79127.0,79766.0,299.0,298.0,-1.0,SELL,23658973.0,23579846.0,-79127.0,79127.0,268284.0,11.869049999999998,40.2426,101199073.06695,101199032.82435,101541599.82435,0.006303476813702,0.95,0.05,0.245317920702514,0.2330520246673883,0.2337864595296045,0.2330046576722454,5091243.824349999,True
A2,2026-04-03,2026-04-06,227550,ETF_005,TIGER 200 산업재,14134.0,14163.0,1757.0,1755.0,-2.0,SELL,24833438.0,24805170.0,-28268.0,28268.0,268284.0,4.2402,40.2426,101199073.06695,101199032.82435,101541599.82435,0.006303476813702,0.95,0.05,0.2581536367409592,0.2452459549039113,0.245391951204642,0.2451127180538775,5091243.824349999,True
A2,2026-04-03,2026-04-06,266390,ETF_006,KODEX 경기소비재,10315.0,10360.0,2241.0,2250.0,9.0,BUY,23115915.0,23208750.0,92835.0,92835.0,268284.0,13.925249999999998,40.2426,101199073.06695,101199032.82435,101541599.82435,0.006303476813702,0.95,0.05,0.2415093463224803,0.2294338790063563,0.2284202246072675,0.2293376661048052,5091243.824349999,True
A2,2026-04-03,2026-04-06,476800,ETF_010,KODEX 한국부동산리츠인프라,4861.0,4861.0,5029.0,5043.0,14.0,BUY,24445969.0,24514023.0,68054.0,68054.0,268284.0,10.208099999999998,40.2426,101199073.06695,101199032.82435,101541599.82435,0.006303476813702,0.95,0.05,0.2550190962340464,0.242268141422344,0.2415631710759578,0.2422357439181134,5091243.824349999,True
A2,2026-04-06,2026-04-07,139260,ETF_003,TIGER 200 IT,81708.0,80600.0,298.0,292.0,-6.0,SELL,24348984.0,23858736.0,-490248.0,490248.0,902642.0,73.5372,135.3963,102122505.82435,102122370.42805,101954171.42805,0.004063079608886,0.95,0.05,0.2464508062572625,0.2341282659443994,0.2384291670425722,0.2336288895370833,5168962.4280499965,True
A2,2026-04-06,2026-04-07,227550,ETF_005,TIGER 200 산업재,14065.0,14306.0,1755.0,1777.0,22.0,BUY,24684075.0,24993505.0,309430.0,309430.0,902642.0,46.4145,135.3963,102122505.82435,102122370.42805,101954171.42805,0.004063079608886,0.95,0.05,0.2577083800499399,0.2448229610474429,0.2417104320026815,0.2447407448068305,5168962.4280499965,True
A2,2026-04-06,2026-04-07,266390,ETF_006,KODEX 경기소비재,10415.0,10305.0,2250.0,2251.0,1.0,BUY,23433750.0,23444165.0,10415.0,10415.0,902642.0,1.56225,135.3963,102122505.82435,102122370.42805,101954171.42805,0.004063079608886,0.95,0.05,0.2416787347057588,0.2295947979704709,0.2294670485299869,0.2295693382530472,5168962.4280499965,True
A2,2026-04-06,2026-04-07,476800,ETF_010,KODEX 한국부동산리츠인프라,4871.0,4866.0,5043.0,5062.0,19.0,BUY,24564453.0,24657002.0,92549.0,92549.0,902642.0,13.88235,135.3963,102122505.82435,102122370.42805,101954171.42805,0.004063079608886,0.95,0.05,0.2541620789870387,0.2414539750376867,0.2405390741415089,0.2414456489469368,5168962.4280499965,True
A2,2026-04-07,2026-04-08,139260,ETF_003,TIGER 200 IT,83365.0,88810.0,292.0,289.0,-3.0,SELL,24342580.0,24092485.0,-250095.0,250095.0,1620293.0,37.51425,243.04395,104549913.42805,104549670.3841,105818859.3841,0.0379061288215887,0.95,0.05,0.2431693875868987,0.2310109182075538,0.2328321392322555,0.2304405639107974,5307448.38409999,True
A2,2026-04-07,2026-04-08,227550,ETF_005,TIGER 200 산업재,14591.0,14453.0,1777.0,1787.0,10.0,BUY,25928207.0,26074117.0,145910.0,145910.0,1620293.0,21.8865,243.04395,104549913.42805,104549670.3841,105818859.3841,0.0379061288215887,0.95,0.05,0.2626616428549532,0.2495285607122055,0.247998359346739,0.2493945404534281,5307448.38409999,True
A2,2026-04-07,2026-04-08,266390,ETF_006,KODEX 경기소비재,10852.0,10802.0,2251.0,2193.0,-58.0,SELL,24427852.0,23798436.0,-629416.0,629416.0,1620293.0,94.4124,243.04395,104549913.42805,104549670.3841,105818859.3841,0.0379061288215887,0.95,0.05,0.2396704541909911,0.2276869314814415,0.233647749663714,0.2276280347185034,5307448.38409999,True
A2,2026-04-07,2026-04-08,476800,ETF_010,KODEX 한국부동산리츠인프라,4876.0,4886.0,5062.0,5184.0,122.0,BUY,24682312.0,25277184.0,594872.0,594872.0,1620293.0,89.23079999999999,243.04395,104549913.42805,104549670.3841,105818859.3841,0.0379061288215887,0.95,0.05,0.2544985153671569,0.2417735895987991,0.2360816110764747,0.2417720104437955,5307448.38409999,True
A2,2026-04-08,2026-04-09,139260,ETF_003,TIGER 200 IT,88281.0,87857.0,289.0,290.0,1.0,BUY,25513209.0,25601490.0,88281.0,88281.0,255509.0,13.24215,38.32635,105831062.3841,105831024.05775,105670400.05775,-0.0014029571591877,0.95,0.05,0.2553549865099396,0.2425872371844426,0.2410748642719199,0.2419091209589897,5386357.057749987,True
A2,2026-04-08,2026-04-09,227550,ETF_005,TIGER 200 산업재,14507.0,14507.0,1787.0,1780.0,-7.0,SELL,25924009.0,25822460.0,-101549.0,101549.0,255509.0,15.23235,38.32635,105831062.3841,105831024.05775,105670400.05775,-0.0014029571591877,0.95,0.05,0.2569609832658702,0.2441129341025766,0.2449565223668662,0.2439970720297402,5386357.057749987,True
A2,2026-04-08,2026-04-09,266390,ETF_006,KODEX 경기소비재,10812.0,10783.0,2193.0,2191.0,-2.0,SELL,23710716.0,23689092.0,-21624.0,21624.0,255509.0,3.2436,38.32635,105831062.3841,105831024.05775,105670400.05775,-0.0014029571591877,0.95,0.05,0.2356825534963388,0.2238984258215219,0.2240430688860049,0.2238388243042353,5386357.057749987,True
A2,2026-04-08,2026-04-09,476800,ETF_010,KODEX 한국부동산리츠인프라,4895.0,4900.0,5184.0,5175.0,-9.0,SELL,25375680.0,25331625.0,-44055.0,44055.0,255509.0,6.60825,38.32635,105831062.3841,105831024.05775,105670400.05775,-0.0014029571591877,0.95,0.05,0.2520014767278513,0.2394014028914587,0.23977534977304,0.2393591598072131,5386357.057749987,True
A2,2026-04-09,2026-04-10,139260,ETF_003,TIGER 200 IT,89084.0,88910.0,290.0,288.0,-2.0,SELL,25834360.0,25656192.0,-178168.0,178168.0,414129.0,26.7252,62.11935,106367869.05775,106367806.9384,107112643.9384,0.0136485134896982,0.95,0.05,0.2540636499866683,0.2413604674873349,0.2428774800966806,0.2412026038560528,5350235.938399985,True
A2,2026-04-09,2026-04-10,227550,ETF_005,TIGER 200 산업재,14581.0,14797.0,1780.0,1784.0,4.0,BUY,25954180.0,26012504.0,58324.0,58324.0,414129.0,8.7486,62.11935,106367869.05775,106367806.9384,107112643.9384,0.0136485134896982,0.95,0.05,0.257493208565594,0.2446185481373143,0.2440039480898952,0.2445524143885417,5350235.938399985,True
A2,2026-04-09,2026-04-10,266390,ETF_006,KODEX 경기소비재,10867.0,10947.0,2191.0,2190.0,-1.0,SELL,23809597.0,23798730.0,-10867.0,10867.0,414129.0,1.63005,62.11935,106367869.05775,106367806.9384,107112643.9384,0.0136485134896982,0.95,0.05,0.2355863634257346,0.2238070452544479,0.2238420042717329,0.2237399706264733,5350235.938399985,True
A2,2026-04-09,2026-04-10,476800,ETF_010,KODEX 한국부동산리츠인프라,4905.0,4950.0,5175.0,5209.0,34.0,BUY,25383375.0,25550145.0,166770.0,166770.0,414129.0,25.0155,62.11935,106367869.05775,106367806.9384,107112643.9384,0.0136485134896982,0.95,0.05,0.2528567780220029,0.2402139391209028,0.2386376189055614,0.2402056198714021,5350235.938399985,True
A2,2026-04-10,2026-04-13,139260,ETF_003,TIGER 200 IT,86843.0,89354.0,288.0,292.0,4.0,BUY,25010784.0,25358156.0,347372.0,347372.0,1013097.0,52.10579999999999,151.96454999999995,106154842.9384,106154690.97384998,107047947.97384998,-0.0006039993241807,0.95,0.05,0.2516261211114423,0.2390448150558701,0.2356066224365606,0.2388792786015146,5345246.973849982,True
A2,2026-04-10,2026-04-13,227550,ETF_005,TIGER 200 산업재,14822.0,14827.0,1784.0,1764.0,-20.0,SELL,26442448.0,26146008.0,-296440.0,296440.0,1013097.0,44.466,151.96454999999995,106154842.9384,106154690.97384998,107047947.97384998,-0.0006039993241807,0.95,0.05,0.2594066759898213,0.2464363421903302,0.2490931856528123,0.2463010137389102,5345246.973849982,True
A2,2026-04-10,2026-04-13,266390,ETF_006,KODEX 경기소비재,10773.0,10783.0,2190.0,2205.0,15.0,BUY,23592870.0,23754465.0,161595.0,161595.0,1013097.0,24.239249999999995,151.96454999999995,106154842.9384,106154690.97384998,107047947.97384998,-0.0006039993241807,0.95,0.05,0.2355872907409974,0.2238079262039475,0.2222495869895505,0.2237721647727432,5345246.973849982,True
A2,2026-04-10,2026-04-13,476800,ETF_010,KODEX 한국부동산리츠인프라,4945.0,4970.0,5209.0,5167.0,-42.0,SELL,25758505.0,25550815.0,-207690.0,207690.0,1013097.0,31.1535,151.96454999999995,106154842.9384,106154690.97384998,107047947.97384998,-0.0006039993241807,0.95,0.05,0.253379912157739,0.240710916549852,0.2426503048471115,0.2406941677809995,5345246.973849982,True
A2,2026-04-13,2026-04-14,139260,ETF_003,TIGER 200 IT,91899.0,92932.0,292.0,287.0,-5.0,SELL,26834508.0,26375013.0,-459495.0,459495.0,850965.0,68.92425,127.64475,108404150.97384998,108404023.32909998,108902577.32909998,0.0173252209907195,0.95,0.05,0.2565454775876601,0.2437182037082771,0.2475413326789784,0.2433028977156043,5478736.329099983,True
A2,2026-04-13,2026-04-14,227550,ETF_005,TIGER 200 산업재,14959.0,14856.0,1764.0,1770.0,6.0,BUY,26387676.0,26477430.0,89754.0,89754.0,850965.0,13.463099999999995,127.64475,108404150.97384998,108404023.32909998,108902577.32909998,0.0173252209907195,0.95,0.05,0.2571694531495284,0.244310980492052,0.2434194240990404,0.2442476689229337,5478736.329099983,True
A2,2026-04-13,2026-04-14,266390,ETF_006,KODEX 경기소비재,10932.0,11071.0,2205.0,2202.0,-3.0,SELL,24105060.0,24072264.0,-32796.0,32796.0,850965.0,4.9194,127.64475,108404150.97384998,108404023.32909998,108902577.32909998,0.0173252209907195,0.95,0.05,0.2337844989977208,0.2220952740478347,0.2223628872460317,0.2220606141796034,5478736.329099983,True
