strategy,as_of_date,next_open_date,nav_close,pending_positions,cash_weight,stock_weight,regime_key,fallback_used,total_return,cagr,annual_vol,sharpe,sortino,max_drawdown,calmar,total_commission,commission_drag,total_turnover_value,avg_turnover_ratio
A0,2026-05-04,2026-05-06,114636791.8374,10,0.05,0.95,DRAI_RISK_ON,False,0.1463679183740001,3.46668117787888,0.1980510157645331,7.67811580268922,8.857903946001704,-0.03019269358364196,114.81854602588642,18012.162599999996,0.00018012162599999996,120081084.0,0.05144409863602129
A1,2026-05-04,2026-05-06,113778436.83075,9,0.05,0.95,DRAI_RISK_ON,False,0.13778436830749996,3.1136013459140663,0.19859215568103092,7.240665187990118,8.472746964228282,-0.030343539057492763,102.61167426827298,128437.16924999999,0.0012843716925,856247795.0,0.35122947807807076
A2,2026-05-04,2026-05-06,112777015.67354998,10,0.05,0.95,DRAI_RISK_ON,False,0.12777015673549985,2.7338435554857927,0.17693954791745936,7.554125541446091,8.191211298368263,-0.03019269358364196,90.54652735478216,169036.32645,0.0016903632644999999,1126908843.0,0.46472015951206147
A3,2026-05-04,2026-05-06,105263086.28135,3,0.05,0.95,DRAI_RISK_ON,False,0.052630862813499935,0.7541574234016728,0.22293263925232257,2.635118944814239,3.3150997510287126,-0.05242676495489673,14.384969662928505,219897.71864999997,0.0021989771865,1465984791.0,0.6005445953927542
A4,2026-05-04,2026-05-06,113487599.25450002,10,0.05,0.95,DRAI_RISK_ON,False,0.13487599254500027,2.9998475320379048,0.18829378463543972,7.476509168930071,9.173189401074476,-0.028390983433839723,105.66198029133196,178791.74550000002,0.0017879174550000001,1191944970.0,0.4837782558320983
A5,2026-05-04,2026-05-06,114821024.58995003,10,0.05,0.95,DRAI_RISK_ON,False,0.1482102458995005,3.545963770214466,0.195653670011041,7.860183944572514,9.28415180272877,-0.029057458300181693,122.03282660108965,43799.41005,0.00043799410049999996,291996067.0,0.12063404253387461
