strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,side
A4,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,263.20205833691824,18975.0,0.046300109996232554,0.034444444444444444,0.03272222222222222,-0.013577887774010332,3529651.5431590416,-1464607.513783982,-77.18616673433371,SELL
A4,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,239.49635323632228,17765.0,0.03944346628108443,0.14111111111111108,0.1340555555555555,0.09461208927447108,14460185.3542322,10205532.638988934,574.474114212718,BUY
A4,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,9.471706204262679,124335.0,0.010917735639255683,0.27166666666666667,0.25808333333333333,0.24716559769407764,27838703.300076958,26661038.709169958,214.4290723381989,BUY
A4,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,176.89100467121938,16910.0,0.027730666832631687,0.08000000000000002,0.07600000000000001,0.048269333167368325,8197900.358304872,5206673.469314553,307.90499522853656,BUY
A4,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,259.6032371099263,16605.0,0.039963170915598624,0.20555555555555555,0.19527777777777777,0.15531460686217916,21064049.53175557,16753337.779545244,1008.9333200569253,BUY
A4,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1224.206287436453,12330.0,0.139935736919369,0.11722222222222221,0.11136111111111109,-0.02857462580825791,12012201.219460608,-3082262.304630857,-249.98072219228362,SELL
A4,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2677.1958765715112,10225.0,0.25377826330569214,0.026111111111111106,0.02480555555555555,-0.2289727077501366,2675703.5891689504,-24698624.248774752,-2415.513373963301,SELL
A4,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,166.09343800051366,21135.0,0.03254360678492934,0.017777777777777774,0.016888888888888884,-0.015654717896040456,1821755.6351788598,-1688629.1769619961,-79.89728776730523,SELL
A4,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,624.7465432063519,22610.0,0.13095297857536403,0.10611111111111111,0.10080555555555555,-0.03014742301980848,10873603.947473822,-3251915.3944217954,-143.82642169048188,SELL
A4,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,5210.116931548019,4805.0,0.23208753679657115,0.0,0.0,-0.23208753679657115,0.0,-25034611.856088232,-5210.116931548019,SELL
