date,nav_open_pre,nav_open_post,nav_close,daily_return,commission,turnover_value,turnover_ratio,rebalanced,stock_weight,cash_weight,effective_num_positions
2026-04-01,100000000.0,99985752.03033563,100601481.56207709,0.006014815620770886,14247.969664364062,94986464.42909375,0.9498646442909375,True,0.95,0.050000000000000044,10
2026-04-02,101085554.00291815,101085554.00291815,98279628.60319181,-0.023079709392277326,0.0,0.0,0.0,False,,,10
2026-04-03,99539019.74793063,99539019.74793063,98513905.01422736,0.0023837738742527037,0.0,0.0,0.0,False,,,10
2026-04-06,98782541.37444825,98782541.37444825,98705239.90285982,0.0019422120014918054,0.0,0.0,0.0,False,,,10
2026-04-07,98836398.18298776,98836398.18298776,98158387.4219422,-0.005540257857189701,0.0,0.0,0.0,False,,,10
2026-04-08,100677430.54698737,100677430.54698737,100565378.03242587,0.024521497079378562,0.0,0.0,0.0,False,,,10
2026-04-09,101031504.62963541,101031504.62963541,101397275.7268542,0.00827220769915571,0.0,0.0,0.0,False,,,10
2026-04-10,101889945.74778041,101889945.74778041,102834661.7495982,0.014175785418693687,0.0,0.0,0.0,False,,,10
2026-04-13,102126715.44472262,102126715.44472262,102613002.16186254,-0.0021554948882450686,0.0,0.0,0.0,False,,,10
2026-04-14,103721309.66836397,103721309.66836397,103482988.65380333,0.008478326075758602,0.0,0.0,0.0,False,,,10
2026-04-15,104375484.94692776,104375484.94692776,104687329.49186777,0.011638056203551406,0.0,0.0,0.0,False,,,10
2026-04-16,105475204.56276211,105475204.56276211,105813515.43825021,0.0107576146210695,0.0,0.0,0.0,False,,,10
2026-04-17,106195100.85297266,106195100.85297266,106267276.9409718,0.0042883132730469065,0.0,0.0,0.0,False,,,10
2026-04-20,106448164.05865628,106448164.05865628,106149153.42184956,-0.0011115700196953071,0.0,0.0,0.0,False,,,10
2026-04-21,106556847.31949972,106556847.31949972,106456434.30192845,0.0028948029275157605,0.0,0.0,0.0,False,,,10
2026-04-22,106522311.58810204,106522311.58810204,107467489.94534828,0.009497365284209192,0.0,0.0,0.0,False,,,10
2026-04-23,108497570.1565368,108497570.1565368,107398958.84926032,-0.0006376914183332527,0.0,0.0,0.0,False,,,10
2026-04-24,107576017.70818111,107576017.70818111,108500766.21871641,0.010259013506849213,0.0,0.0,0.0,False,,,10
2026-04-27,109239609.80941866,109239609.80941866,109124255.6395478,0.005746405694265322,0.0,0.0,0.0,False,,,10
2026-04-28,109484813.6269714,109484813.6269714,109309409.5873789,0.0016967258722266898,0.0,0.0,0.0,False,,,10
2026-04-29,109846473.63306451,109846473.63306451,108592381.5943403,-0.006559618204372786,0.0,0.0,0.0,False,,,10
2026-04-30,108364865.06429613,108364865.06429613,107344933.77472825,-0.01148743402895458,0.0,0.0,0.0,False,,,10
2026-05-04,108886686.43066268,108886686.43066268,107867109.97769567,0.004864469934493965,0.0,0.0,0.0,False,,,10
