strategy,decision_date,execution_date,ticker,ETF_id,name,open,close,prev_qty,target_qty,delta_qty,side,prev_value_open,target_value_open,delta_value_open,trade_turnover_value,day_turnover_value,commission_allocated,day_commission,nav_open_pre,nav_open_post,nav_close,daily_return,stock_ratio,cash_weight,target_sleeve_weight,target_portfolio_weight,prev_portfolio_weight_open,actual_portfolio_weight_open,cash_after_rebalance,rebalanced
A5,2026-03-31,2026-04-01,117460,ETF_001,KODEX 에너지화학,15037.0,15042.0,0.0,577.0,577.0,BUY,0.0,8676349.0,8676349.0,8676349.0,94927087.0,1301.45235,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.0914187324762631,0.0868477958524499,0.0,0.0867758460674337,5058673.936949998,True
A5,2026-03-31,2026-04-01,117680,ETF_002,KODEX 철강,14322.0,14714.0,0.0,659.0,659.0,BUY,0.0,9438198.0,9438198.0,9438198.0,94927087.0,1415.7297,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.0994549647938117,0.0944822165541211,0.0,0.0943954210235158,5058673.936949998,True
A5,2026-03-31,2026-04-01,139260,ETF_003,TIGER 200 IT,77999.0,80021.0,0.0,124.0,124.0,BUY,0.0,9671876.0,9671876.0,9671876.0,94927087.0,1450.7814,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.1018495430444599,0.0967570658922369,0.0,0.0967325338064785,5058673.936949998,True
A5,2026-03-31,2026-04-01,139270,ETF_004,TIGER 200 금융,15811.0,15865.0,0.0,597.0,597.0,BUY,0.0,9439167.0,9439167.0,9439167.0,94927087.0,1415.87505,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.0994549647938117,0.0944822165541211,0.0,0.0944051124034775,5058673.936949998,True
A5,2026-03-31,2026-04-01,227550,ETF_005,TIGER 200 산업재,13416.0,13848.0,0.0,672.0,672.0,BUY,0.0,9015552.0,9015552.0,9015552.0,94927087.0,1352.3328,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.095025387220382,0.0902741178593629,0.0,0.0901683591295076,5058673.936949998,True
A5,2026-03-31,2026-04-01,266390,ETF_006,KODEX 경기소비재,10604.0,10668.0,0.0,830.0,830.0,BUY,0.0,8801320.0,8801320.0,8801320.0,94927087.0,1320.198,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.0926710534506989,0.0880375007781639,0.0,0.0880257340397701,5058673.936949998,True
A5,2026-03-31,2026-04-01,266410,ETF_007,KODEX 필수소비재,9481.0,9496.0,0.0,1070.0,1070.0,BUY,0.0,10144670.0,10144670.0,10144670.0,94927087.0,1521.7004999999997,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.106821722392142,0.1014806362725349,0.0,0.1014611471167092,5058673.936949998,True
A5,2026-03-31,2026-04-01,266420,ETF_008,KODEX 헬스케어,22240.0,22675.0,0.0,451.0,451.0,BUY,0.0,10030240.0,10030240.0,10030240.0,94927087.0,1504.5359999999998,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.1056851206843119,0.1004008646500963,0.0,0.1003166841559066,5058673.936949998,True
A5,2026-03-31,2026-04-01,315270,ETF_009,TIGER 200 커뮤니케이션서비스,21539.0,21758.0,0.0,444.0,444.0,BUY,0.0,9563316.0,9563316.0,9563316.0,94927087.0,1434.4974,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.1007967887519763,0.0957569493143775,0.0,0.0956467792051963,5058673.936949998,True
A5,2026-03-31,2026-04-01,476800,ETF_010,KODEX 한국부동산리츠인프라,4811.0,4821.0,0.0,2109.0,2109.0,BUY,0.0,10146399.0,10146399.0,10146399.0,94927087.0,1521.95985,14239.06305,100000000.0,99985760.93695,101203924.93695,0.0120392493695,0.95,0.05,0.106821722392142,0.1014806362725349,0.0,0.1014784395789938,5058673.936949998,True
A5,2026-04-01,2026-04-02,117460,ETF_001,KODEX 에너지화학,15177.0,14508.0,577.0,650.0,73.0,BUY,8757129.0,9865050.0,1107921.0,1107921.0,5605533.0,166.18815,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.1019145380825556,0.0968188111784278,0.0858850630913937,0.096751735477521,5247974.106999993,True
A5,2026-04-01,2026-04-02,117680,ETF_002,KODEX 철강,14763.0,14133.0,659.0,682.0,23.0,BUY,9728817.0,10068366.0,339549.0,339549.0,5605533.0,50.93235,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.1040434613876149,0.0988412883182342,0.0954148399377951,0.098745762456639,5247974.106999993,True
A5,2026-04-01,2026-04-02,139260,ETF_003,TIGER 200 IT,80904.0,76098.0,124.0,116.0,-8.0,SELL,10032096.0,9384864.0,-647232.0,647232.0,5605533.0,97.0848,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.0973533577561668,0.0924856898683585,0.0983892321214999,0.0920422987435958,5247974.106999993,True
A5,2026-04-01,2026-04-02,139270,ETF_004,TIGER 200 금융,15993.0,15466.0,597.0,568.0,-29.0,SELL,9547821.0,9084024.0,-463797.0,463797.0,5605533.0,69.56954999999999,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.0939367068001895,0.08923987146018,0.0936397315798744,0.0890918025878685,5247974.106999993,True
A5,2026-04-01,2026-04-02,227550,ETF_005,TIGER 200 산업재,14124.0,13853.0,672.0,665.0,-7.0,SELL,9491328.0,9392460.0,-98868.0,98868.0,5605533.0,14.830199999999998,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.0971088015351428,0.0922533614583857,0.0930856795761615,0.0921167967119474,5247974.106999993,True
A5,2026-04-01,2026-04-02,266390,ETF_006,KODEX 경기소비재,10788.0,10285.0,830.0,854.0,24.0,BUY,8954040.0,9212952.0,258912.0,258912.0,5605533.0,38.8368,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.0952159376478583,0.0904551407654653,0.0878162569402441,0.0903562673145192,5247974.106999993,True
A5,2026-04-01,2026-04-02,266410,ETF_007,KODEX 필수소비재,9467.0,9263.0,1070.0,1110.0,40.0,BUY,10129690.0,10508370.0,378680.0,378680.0,5605533.0,56.80199999999999,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.108579466481107,0.1031504931570516,0.0993463799318544,0.103061113176306,5247974.106999993,True
A5,2026-04-01,2026-04-02,266420,ETF_008,KODEX 헬스케어,22810.0,21200.0,451.0,377.0,-74.0,SELL,10287310.0,8599370.0,-1687940.0,1687940.0,5605533.0,253.191,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.0889254358480047,0.0844791640556044,0.1008922294499402,0.084338545827272,5247974.106999993,True
A5,2026-04-01,2026-04-02,315270,ETF_009,TIGER 200 커뮤니케이션서비스,22021.0,20759.0,444.0,458.0,14.0,BUY,9777324.0,10085618.0,308294.0,308294.0,5605533.0,46.2441,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.1043428279802531,0.0991256865812404,0.0958905696838539,0.0989149618971343,5247974.106999993,True
A5,2026-04-01,2026-04-02,476800,ETF_010,KODEX 한국부동산리츠인프라,4836.0,4826.0,2109.0,2174.0,65.0,BUY,10199124.0,10513464.0,314340.0,314340.0,5605533.0,47.151,840.8299499999999,101963352.93695,101962512.107,98198247.107,-0.0296992219602405,0.95,0.05,0.108579466481107,0.1031504931570516,0.1000273500843653,0.1031110727143238,5247974.106999993,True
A5,2026-04-02,2026-04-03,117460,ETF_001,KODEX 에너지화학,14807.0,14902.0,650.0,630.0,-20.0,SELL,9624550.0,9328410.0,-296140.0,296140.0,7886875.0,44.421,1183.03125,99979063.107,99977880.07575,99195950.07575,0.0101600893920525,0.95,0.05,0.0983542245369892,0.0934365133101398,0.0962656550371909,0.0933047389375746,5107416.075749993,True
A5,2026-04-02,2026-04-03,117680,ETF_002,KODEX 철강,14739.0,14555.0,682.0,615.0,-67.0,SELL,10051998.0,9064485.0,-987513.0,987513.0,7886875.0,148.12695,1183.03125,99979063.107,99977880.07575,99195950.07575,0.0101600893920525,0.95,0.05,0.0955918672054581,0.0908122738451852,0.1005410301679073,0.0906649050083091,5107416.075749993,True
A5,2026-04-02,2026-04-03,139260,ETF_003,TIGER 200 IT,78364.0,78568.0,116.0,125.0,9.0,BUY,9090224.0,9795500.0,705276.0,705276.0,7886875.0,105.7914,1183.03125,99979063.107,99977880.07575,99195950.07575,0.0101600893920525,0.95,0.05,0.1035391108469474,0.0983621553046,0.0909212760902892,0.0979766723657099,5107416.075749993,True
A5,2026-04-02,2026-04-03,139270,ETF_004,TIGER 200 금융,15683.0,15412.0,568.0,585.0,17.0,BUY,8907944.0,9174555.0,266611.0,266611.0,7886875.0,39.99165,1183.03125,99979063.107,99977880.07575,99195950.07575,0.0101600893920525,0.95,0.05,0.0966316608710598,0.0918000778275068,0.0890980943726838,0.0917658485361835,5107416.075749993,True
A5,2026-04-02,2026-04-03,227550,ETF_005,TIGER 200 산업재,14079.0,14070.0,665.0,706.0,41.0,BUY,9362535.0,9939774.0,577239.0,577239.0,7886875.0,86.58585,1183.03125,99979063.107,99977880.07575,99195950.07575,0.0101600893920525,0.95,0.05,0.1046813385961738,0.0994472716663651,0.0936449563443097,0.0994197315693126,5107416.075749993,True
A5,2026-04-02,2026-04-03,266390,ETF_006,KODEX 경기소비재,10459.0,10320.0,854.0,865.0,11.0,BUY,8931986.0,9047035.0,115049.0,115049.0,7886875.0,17.25735,1183.03125,99979063.107,99977880.07575,99195950.07575,0.0101600893920525,0.95,0.05,0.0953344636754115,0.0905677404916409,0.0893385647197031,0.0904903664005013,5107416.075749993,True
