strategy,decision_date,execution_date,ticker,ETF_id,name,open,close,prev_qty,target_qty,delta_qty,side,prev_value_open,target_value_open,delta_value_open,trade_turnover_value,day_turnover_value,commission_allocated,day_commission,nav_open_pre,nav_open_post,nav_close,daily_return,stock_ratio,cash_weight,target_sleeve_weight,target_portfolio_weight,prev_portfolio_weight_open,actual_portfolio_weight_open,cash_after_rebalance,rebalanced
A1,2026-03-31,2026-04-01,117460,ETF_001,KODEX 에너지화학,15037.0,15042.0,0.0,779.0,779.0,BUY,0.0,11713823.0,11713823.0,11713823.0,94846139.0,1757.07345,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.1233333333333333,0.1171666666666667,0.0,0.1171548975345441,5139634.079150006,True
A1,2026-03-31,2026-04-01,117680,ETF_002,KODEX 철강,14322.0,14714.0,0.0,228.0,228.0,BUY,0.0,3265416.0,3265416.0,3265416.0,94846139.0,489.8123999999999,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.0344444444444444,0.0327222222222222,0.0,0.0326588063425289,5139634.079150006,True
A1,2026-03-31,2026-04-01,139260,ETF_003,TIGER 200 IT,77999.0,80021.0,0.0,110.0,110.0,BUY,0.0,8579890.0,8579890.0,8579890.0,94846139.0,1286.9834999999998,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.0911111111111111,0.0865555555555555,0.0,0.0858111082784552,5139634.079150006,True
A1,2026-03-31,2026-04-01,139270,ETF_004,TIGER 200 금융,15811.0,15865.0,0.0,513.0,513.0,BUY,0.0,8111043.0,8111043.0,8111043.0,94846139.0,1216.6564499999995,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.0855555555555555,0.0812777777777778,0.0,0.0811219711586287,5139634.079150006,True
A1,2026-03-31,2026-04-01,227550,ETF_005,TIGER 200 산업재,13416.0,13848.0,0.0,951.0,951.0,BUY,0.0,12758616.0,12758616.0,12758616.0,94846139.0,1913.7924,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.1344444444444444,0.1277222222222222,0.0,0.1276043141647774,5139634.079150006,True
A1,2026-03-31,2026-04-01,266390,ETF_006,KODEX 경기소비재,10604.0,10668.0,0.0,1055.0,1055.0,BUY,0.0,11187220.0,11187220.0,11187220.0,94846139.0,1678.083,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.1177777777777778,0.1118888888888889,0.0,0.1118881182340217,5139634.079150006,True
A1,2026-03-31,2026-04-01,266410,ETF_007,KODEX 필수소비재,9481.0,9496.0,0.0,1090.0,1090.0,BUY,0.0,10334290.0,10334290.0,10334290.0,94846139.0,1550.1434999999997,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.1088888888888889,0.1034444444444444,0.0,0.1033576046045995,5139634.079150006,True
A1,2026-03-31,2026-04-01,266420,ETF_008,KODEX 헬스케어,22240.0,22675.0,0.0,384.0,384.0,BUY,0.0,8540160.0,8540160.0,8540160.0,94846139.0,1281.024,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.09,0.0854999999999999,0.0,0.085413751746856,5139634.079150006,True
A1,2026-03-31,2026-04-01,315270,ETF_009,TIGER 200 커뮤니케이션서비스,21539.0,21758.0,0.0,367.0,367.0,BUY,0.0,7904813.0,7904813.0,7904813.0,94846139.0,1185.72195,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.0833333333333333,0.0791666666666666,0.0,0.079059377715092,5139634.079150006,True
A1,2026-03-31,2026-04-01,476800,ETF_010,KODEX 한국부동산리츠인프라,4811.0,4821.0,0.0,2588.0,2588.0,BUY,0.0,12450868.0,12450868.0,12450868.0,94846139.0,1867.6302,14226.92085,100000000.0,99985773.07915,101097161.07915,0.0109716107915001,0.95,0.05,0.1311111111111111,0.1245555555555555,0.0,0.1245263962718349,5139634.079150006,True
A1,2026-04-01,2026-04-02,117460,ETF_001,KODEX 에너지화학,15177.0,14508.0,779.0,496.0,-283.0,SELL,11822883.0,7527792.0,-4295091.0,4295091.0,21487048.0,644.2636499999999,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.0777777777777777,0.0738888888888888,0.1160005304780262,0.0738614668168068,5188203.021950007,True
A1,2026-04-01,2026-04-02,117680,ETF_002,KODEX 철강,14763.0,14133.0,228.0,276.0,48.0,BUY,3365964.0,4074588.0,708624.0,708624.0,21487048.0,106.2936,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.0422222222222222,0.0401111111111111,0.0330252451597414,0.0399791926177236,5188203.021950007,True
A1,2026-04-01,2026-04-02,139260,ETF_003,TIGER 200 IT,80904.0,76098.0,110.0,90.0,-20.0,SELL,8899440.0,7281360.0,-1618080.0,1618080.0,21487048.0,242.712,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.0755555555555555,0.0717777777777777,0.0873170918596899,0.0714435162423755,5188203.021950007,True
A1,2026-04-01,2026-04-02,139270,ETF_004,TIGER 200 금융,15993.0,15466.0,513.0,746.0,233.0,BUY,8204409.0,11930778.0,3726369.0,3726369.0,21487048.0,558.95535,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.1233333333333333,0.1171666666666666,0.0804977767485894,0.1170628470268159,5188203.021950007,True
A1,2026-04-01,2026-04-02,227550,ETF_005,TIGER 200 산업재,14124.0,13853.0,951.0,1188.0,237.0,BUY,13431924.0,16779312.0,3347388.0,3347388.0,21487048.0,502.1082,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.1733333333333333,0.1646666666666666,0.1317876789731009,0.1646358715140971,5188203.021950007,True
A1,2026-04-01,2026-04-02,266390,ETF_006,KODEX 경기소비재,10788.0,10285.0,1055.0,987.0,-68.0,SELL,11381340.0,10647756.0,-733584.0,733584.0,21487048.0,110.0376,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.11,0.1045,0.1116683196095892,0.104474044509659,5188203.021950007,True
A1,2026-04-01,2026-04-02,266410,ETF_007,KODEX 필수소비재,9467.0,9263.0,1090.0,795.0,-295.0,SELL,10319030.0,7526265.0,-2792765.0,2792765.0,21487048.0,418.91475,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.0777777777777777,0.0738888888888888,0.1012454368379241,0.0738464841419628,5188203.021950007,True
A1,2026-04-01,2026-04-02,266420,ETF_008,KODEX 헬스케어,22810.0,21200.0,384.0,448.0,64.0,BUY,8759040.0,10218880.0,1459840.0,1459840.0,21487048.0,218.976,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.1055555555555555,0.1002777777777777,0.0859395535317613,0.1002659831760668,5188203.021950007,True
A1,2026-04-01,2026-04-02,315270,ETF_009,TIGER 200 커뮤니케이션서비스,22021.0,20759.0,367.0,434.0,67.0,BUY,8081707.0,9557114.0,1475407.0,1475407.0,21487048.0,221.31105,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.0988888888888888,0.0939444444444444,0.0792938828175816,0.0937728431624359,5188203.021950007,True
A1,2026-04-01,2026-04-02,476800,ETF_010,KODEX 한국부동산리츠인프라,4836.0,4826.0,2588.0,2313.0,-275.0,SELL,12515568.0,11185668.0,-1329900.0,1329900.0,21487048.0,199.485,3223.0572,101920939.07915,101917716.02195,98313623.02195,-0.0275332959648663,0.95,0.05,0.1155555555555555,0.1097777777777777,0.1227968277478353,0.1097519492841749,5188203.021950007,True
A1,2026-04-02,2026-04-03,117460,ETF_001,KODEX 에너지화학,14807.0,14902.0,496.0,854.0,358.0,BUY,7344272.0,12645178.0,5300906.0,5300906.0,33401746.0,795.1359,5010.2619,99920464.02195,99915453.76005,99237621.76005,0.0093984812043159,0.95,0.05,0.1333333333333333,0.1266666666666666,0.0735011798822976,0.1265587806904002,5105340.760050014,True
A1,2026-04-02,2026-04-03,117680,ETF_002,KODEX 철강,14739.0,14555.0,276.0,515.0,239.0,BUY,4067964.0,7590585.0,3522621.0,3522621.0,33401746.0,528.39315,5010.2619,99920464.02195,99915453.76005,99237621.76005,0.0093984812043159,0.95,0.05,0.08,0.076,0.0407120207038507,0.0759700798459968,5105340.760050014,True
A1,2026-04-02,2026-04-03,139260,ETF_003,TIGER 200 IT,78364.0,78568.0,90.0,157.0,67.0,BUY,7052760.0,12303148.0,5250388.0,5250388.0,33401746.0,787.5581999999999,5010.2619,99920464.02195,99915453.76005,99237621.76005,0.0093984812043159,0.95,0.05,0.13,0.1235,0.0705837394675297,0.1231355865084332,5105340.760050014,True
A1,2026-04-02,2026-04-03,139270,ETF_004,TIGER 200 금융,15683.0,15412.0,746.0,894.0,148.0,BUY,11699518.0,14020602.0,2321084.0,2321084.0,33401746.0,348.1626,5010.2619,99920464.02195,99915453.76005,99237621.76005,0.0093984812043159,0.95,0.05,0.1477777777777777,0.1403888888888889,0.1170883073304174,0.1403246592230957,5105340.760050014,True
A1,2026-04-02,2026-04-03,227550,ETF_005,TIGER 200 산업재,14079.0,14070.0,1188.0,861.0,-327.0,SELL,16725852.0,12122019.0,-4603833.0,4603833.0,33401746.0,690.57495,5010.2619,99920464.02195,99915453.76005,99237621.76005,0.0093984812043159,0.95,0.05,0.1277777777777778,0.1213888888888889,0.1673916565912439,0.1213227638350259,5105340.760050014,True
A1,2026-04-02,2026-04-03,266390,ETF_006,KODEX 경기소비재,10459.0,10320.0,987.0,766.0,-221.0,SELL,10323033.0,8011594.0,-2311439.0,2311439.0,33401746.0,346.71585,5010.2619,99920464.02195,99915453.76005,99237621.76005,0.0093984812043159,0.95,0.05,0.0844444444444444,0.0802222222222222,0.1033125006078063,0.0801837323307372,5105340.760050014,True
A1,2026-04-02,2026-04-03,266410,ETF_007,KODEX 필수소비재,9333.0,9114.0,795.0,621.0,-174.0,SELL,7419735.0,5795793.0,-1623942.0,1623942.0,33401746.0,243.5913,5010.2619,99920464.02195,99915453.76005,99237621.76005,0.0093984812043159,0.95,0.05,0.0611111111111111,0.0580555555555555,0.0742564105624056,0.0580069727143387,5105340.760050014,True
