date,ticker,ETF_id,name,gics_sector,open,high,low,close,volume,amount,index_close,market_corr_active,market_corr_rolling20,market_corr_ewma20,market_beta_rolling20,market_score,market_rank,market_valid,flow_score_raw,flow_score,flow_rank,flow_valid,rotation_score_raw,rotation_score,rotation_rank,rotation_valid,tradable,all_rank_valid
2023-05-03,117460,ETF_001,KODEX 에너지화학,Energy,17954.0,17954.0,17439.0,17439.0,4661.0,82.0,31057.0,,,,,,,False,0.0,,,False,0.0,,,False,True,False
2023-05-03,117680,ETF_002,KODEX 철강,Materials,8541.0,8602.0,8457.0,8466.0,26430.0,225.0,31057.0,,,,,,,False,0.0,,,False,0.0,,,False,True,False
2023-05-03,139260,ETF_003,TIGER 200 IT,Information Technology,29076.0,29222.0,29056.0,29159.0,26787.0,781.0,31057.0,,,,,,,False,0.0,,,False,0.0,,,False,True,False
2023-05-03,139270,ETF_004,TIGER 200 금융,Financials,5326.0,5334.0,5276.0,5285.0,33001.0,175.0,31057.0,,,,,,,False,0.0,,,False,0.0,,,False,True,False
2023-05-03,227550,ETF_005,TIGER 200 산업재,Industrials,6066.0,6066.0,6009.0,6023.0,8765.0,53.0,31057.0,,,,,,,False,0.0,,,False,0.0,,,False,True,False
2023-05-03,266390,ETF_006,KODEX 경기소비재,Consumer Discretionary,8973.0,8973.0,8859.0,8878.0,3224.0,29.0,31057.0,,,,,,,False,0.0,,,False,0.0,,,False,True,False
2023-05-03,266410,ETF_007,KODEX 필수소비재,Consumer Staples,6771.0,6775.0,6675.0,6694.0,8128.0,54.0,31057.0,,,,,,,False,0.0,,,False,0.0,,,False,True,False
2023-05-03,266420,ETF_008,KODEX 헬스케어,Health Care,11738.0,11792.0,11633.0,11748.0,60009.0,703.0,31057.0,,,,,,,False,0.0,,,False,0.0,,,False,True,False
2023-05-03,315270,ETF_009,TIGER 200 커뮤니케이션서비스,Communication Services,17818.0,17904.0,17818.0,17876.0,72.0,1.0,31057.0,,,,,,,False,0.0,,,False,0.0,,,False,True,False
2023-05-04,117460,ETF_001,KODEX 에너지화학,Energy,17439.0,17650.0,17297.0,17571.0,6837.0,120.0,30938.0,,,,,,,False,0.0,,,False,0.3808828585187792,0.875,2.0,True,True,False
2023-05-04,117680,ETF_002,KODEX 철강,Materials,8466.0,8480.0,8326.0,8443.0,82446.0,692.0,30938.0,,,,,,,False,0.0,,,False,-0.4720588413008711,0.375,6.0,True,True,False
2023-05-04,139260,ETF_003,TIGER 200 IT,Information Technology,29027.0,29193.0,28891.0,29052.0,27863.0,808.0,30938.0,,,,,,,False,0.0,,,False,-0.551511148664192,0.25,7.0,True,True,False
2023-05-04,139270,ETF_004,TIGER 200 금융,Financials,5281.0,5308.0,5254.0,5259.0,30595.0,161.0,30938.0,,,,,,,False,0.0,,,False,-0.6558671940268327,0.0,9.0,True,True,False
2023-05-04,227550,ETF_005,TIGER 200 산업재,Industrials,6033.0,6033.0,5985.0,6009.0,113.0,1.0,30938.0,,,,,,,False,0.0,,,False,-0.4393650466273884,0.5,5.0,True,True,False
2023-05-04,266390,ETF_006,KODEX 경기소비재,Consumer Discretionary,8878.0,8892.0,8863.0,8892.0,403.0,4.0,30938.0,,,,,,,False,0.0,,,False,-0.114950602774618,0.625,4.0,True,True,False
2023-05-04,266410,ETF_007,KODEX 필수소비재,Consumer Staples,6670.0,6680.0,6628.0,6666.0,21181.0,141.0,30938.0,,,,,,,False,0.0,,,False,-0.5943476220303072,0.125,8.0,True,True,False
2023-05-04,266420,ETF_008,KODEX 헬스케어,Health Care,11668.0,12155.0,11668.0,12145.0,105536.0,1273.0,30938.0,,,,,,,False,0.0,,,False,2.516632581956664,1.0,1.0,True,True,False
2023-05-04,315270,ETF_009,TIGER 200 커뮤니케이션서비스,Communication Services,17818.0,17914.0,17556.0,17914.0,234.0,4.0,30938.0,,,,,,,False,0.0,,,False,-0.0694149850512338,0.75,3.0,True,True,False
2023-05-08,117460,ETF_001,KODEX 에너지화학,Energy,17684.0,17861.0,17473.0,17473.0,5987.0,106.0,31327.0,,,,,,,False,0.0,,,False,-0.7103393793529419,0.25,7.0,True,True,False
2023-05-08,117680,ETF_002,KODEX 철강,Materials,8471.0,8471.0,8331.0,8335.0,27676.0,233.0,31327.0,,,,,,,False,0.0,,,False,-1.288790910301339,0.0,9.0,True,True,False
2023-05-08,139260,ETF_003,TIGER 200 IT,Information Technology,29261.0,29441.0,29188.0,29368.0,84916.0,2489.0,31327.0,,,,,,,False,0.0,,,False,0.5934495319085722,0.875,2.0,True,True,False
2023-05-08,139270,ETF_004,TIGER 200 금융,Financials,5276.0,5415.0,5276.0,5397.0,28802.0,155.0,31327.0,,,,,,,False,0.0,,,False,1.791793938833007,1.0,1.0,True,True,False
2023-05-08,227550,ETF_005,TIGER 200 산업재,Industrials,6057.0,6061.0,6009.0,6009.0,8599.0,52.0,31327.0,,,,,,,False,0.0,,,False,-0.2660071855774751,0.375,6.0,True,True,False
2023-05-08,266390,ETF_006,KODEX 경기소비재,Consumer Discretionary,8964.0,8964.0,8935.0,8935.0,127.0,1.0,31327.0,,,,,,,False,0.0,,,False,0.1172455629291199,0.5,5.0,True,True,False
2023-05-08,266410,ETF_007,KODEX 필수소비재,Consumer Staples,6666.0,6742.0,6666.0,6737.0,6050.0,41.0,31327.0,,,,,,,False,0.0,,,False,0.575687603072856,0.75,3.0,True,True,False
2023-05-08,266420,ETF_008,KODEX 헬스케어,Health Care,12230.0,12319.0,11981.0,11991.0,115089.0,1399.0,31327.0,,,,,,,False,0.0,,,False,-1.2798148309490156,0.125,8.0,True,True,False
2023-05-08,315270,ETF_009,TIGER 200 커뮤니케이션서비스,Communication Services,17999.0,18199.0,17999.0,18080.0,652.0,12.0,31327.0,,,,,,,False,0.0,,,False,0.4667756694372165,0.625,4.0,True,True,False
2023-05-09,117460,ETF_001,KODEX 에너지화학,Energy,17473.0,17562.0,17106.0,17312.0,21422.0,370.0,31234.0,,,,,,,False,0.0,,,False,-1.0681300092095385,0.0,8.0,True,True,False
2023-05-09,117680,ETF_002,KODEX 철강,Materials,8307.0,8368.0,8232.0,8349.0,45753.0,380.0,31234.0,,,,,,,False,0.0,,,False,0.3792674470909646,0.7142857142857143,3.0,True,True,False
2023-05-09,139260,ETF_003,TIGER 200 IT,Information Technology,29368.0,29368.0,28949.0,29168.0,34091.0,991.0,31234.0,,,,,,,False,0.0,,,False,-0.7473517226602532,0.2857142857142857,6.0,True,True,False
2023-05-09,139270,ETF_004,TIGER 200 금융,Financials,5397.0,5397.0,5339.0,5366.0,28871.0,155.0,31234.0,,,,,,,False,0.0,,,False,-0.605336220924605,0.4285714285714286,5.0,True,True,False
2023-05-09,227550,ETF_005,TIGER 200 산업재,Industrials,6009.0,6009.0,5957.0,5985.0,68.0,0.0,31234.0,,,,,,,False,0.0,,,False,-0.3725804690257528,,,False,False,False
2023-05-09,266390,ETF_006,KODEX 경기소비재,Consumer Discretionary,9016.0,9016.0,8921.0,8930.0,3935.0,35.0,31234.0,,,,,,,False,0.0,,,False,0.0830412529937214,0.5714285714285714,4.0,True,True,False
2023-05-09,266410,ETF_007,KODEX 필수소비재,Consumer Staples,6704.0,6723.0,6680.0,6690.0,3197.0,21.0,31234.0,,,,,,,False,0.0,,,False,-0.7695116295171739,0.1428571428571429,7.0,True,True,False
2023-05-09,266420,ETF_008,KODEX 헬스케어,Health Care,12116.0,12250.0,12101.0,12150.0,45137.0,550.0,31234.0,,,,,,,False,0.0,,,False,1.9007028544891111,1.0,1.0,True,True,False
2023-05-09,315270,ETF_009,TIGER 200 커뮤니케이션서비스,Communication Services,18166.0,18223.0,18166.0,18223.0,52.0,1.0,31234.0,,,,,,,False,0.0,,,False,1.1998984967635262,0.8571428571428572,2.0,True,True,False
2023-05-10,117460,ETF_001,KODEX 에너지화학,Energy,17243.0,17322.0,16871.0,17008.0,22113.0,376.0,31039.0,,,,,,,False,0.0,,,False,-1.524908529410212,0.0,9.0,True,True,False
2023-05-10,117680,ETF_002,KODEX 철강,Materials,8303.0,8373.0,8195.0,8218.0,37120.0,307.0,31039.0,,,,,,,False,0.0,,,False,-1.2597554094613108,0.125,8.0,True,True,False
2023-05-10,139260,ETF_003,TIGER 200 IT,Information Technology,29168.0,29168.0,28789.0,28949.0,33842.0,980.0,31039.0,,,,,,,False,0.0,,,False,-0.1051943701612107,0.375,6.0,True,True,False
2023-05-10,139270,ETF_004,TIGER 200 금융,Financials,5348.0,5370.0,5299.0,5334.0,27045.0,144.0,31039.0,,,,,,,False,0.0,,,False,0.1117099596140601,0.5,5.0,True,True,False
2023-05-10,227550,ETF_005,TIGER 200 산업재,Industrials,5995.0,6000.0,5957.0,5957.0,1227.0,7.0,31039.0,,,,,,,False,0.0,,,False,0.291900173334768,0.625,4.0,True,True,False
2023-05-10,266390,ETF_006,KODEX 경기소비재,Consumer Discretionary,8930.0,9007.0,8873.0,8983.0,2713.0,24.0,31039.0,,,,,,,False,0.0,,,False,1.7712121280504158,1.0,1.0,True,True,False
2023-05-10,266410,ETF_007,KODEX 필수소비재,Consumer Staples,6690.0,6742.0,6637.0,6675.0,4305.0,29.0,31039.0,,,,,,,False,0.0,,,False,0.6328525849187336,0.875,2.0,True,True,False
2023-05-10,266420,ETF_008,KODEX 헬스케어,Health Care,12180.0,12180.0,12001.0,12031.0,35642.0,430.0,31039.0,,,,,,,False,0.0,,,False,-0.4268012816700237,0.25,7.0,True,True,False
2023-05-10,315270,ETF_009,TIGER 200 커뮤니케이션서비스,Communication Services,18209.0,18209.0,17971.0,18166.0,3684.0,67.0,31039.0,,,,,,,False,0.0,,,False,0.5089847447847797,0.75,3.0,True,True,False
2023-05-11,117460,ETF_001,KODEX 에너지화학,Energy,17013.0,17219.0,16689.0,16753.0,7748.0,132.0,30952.0,,,,,,,False,0.0,,,False,-1.905943557807552,0.0,9.0,True,True,False
2023-05-11,117680,ETF_002,KODEX 철강,Materials,8242.0,8359.0,8242.0,8260.0,42323.0,353.0,30952.0,,,,,,,False,0.0,,,False,0.5633951644361062,0.625,4.0,True,True,False
