date,ticker,name,gics_sector,market_corr_active,market_corr_rolling20,market_corr_ewma20,market_beta_rolling20,market_score,market_rank,market_valid,market_corr_mode,market_lookback,market_obs
2023-05-03,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-04,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-08,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-09,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-10,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-11,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-12,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-15,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-16,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-17,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-18,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-19,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-22,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-23,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-24,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-25,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-26,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-30,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-05-31,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,0
2023-06-01,117460,KODEX 에너지화학,Energy,,,,,,,False,rolling,20,19
2023-06-02,117460,KODEX 에너지화학,Energy,0.3303826784204669,0.3303826784204669,0.09800378830149445,0.6076682501789346,0.75,3.0,True,rolling,20,20
2023-06-05,117460,KODEX 에너지화학,Energy,0.3668819128182202,0.3668819128182202,0.10616431410996824,0.692228424343264,0.5,5.0,True,rolling,20,20
2023-06-07,117460,KODEX 에너지화학,Energy,0.2908189083620799,0.2908189083620799,0.06532651265528783,0.6634845090049631,0.625,4.0,True,rolling,20,20
2023-06-08,117460,KODEX 에너지화학,Energy,0.27773449205589895,0.27773449205589895,0.06864152519931625,0.6332667053473475,0.625,4.0,True,rolling,20,20
2023-06-09,117460,KODEX 에너지화학,Energy,0.23666233210156148,0.23666233210156148,0.1150049457838102,0.5059175719786867,0.7142857142857143,3.0,True,rolling,20,20
2023-06-12,117460,KODEX 에너지화학,Energy,0.2005702927774352,0.2005702927774352,0.13080214880192567,0.39504912655425267,1.0,1.0,True,rolling,20,20
2023-06-13,117460,KODEX 에너지화학,Energy,0.15125494405377166,0.15125494405377166,0.13408138006453685,0.30074396766356665,0.875,2.0,True,rolling,20,20
2023-06-14,117460,KODEX 에너지화학,Energy,0.2686974135586083,0.2686974135586083,0.18922781589505652,0.5894406907664536,0.75,3.0,True,rolling,20,20
2023-06-15,117460,KODEX 에너지화학,Energy,0.26167651324331564,0.26167651324331564,0.18691848039920536,0.5591720273036891,0.75,3.0,True,rolling,20,20
2023-06-16,117460,KODEX 에너지화학,Energy,0.2754371013126576,0.2754371013126576,0.2143046746700938,0.5796206535226391,0.75,3.0,True,rolling,20,20
2023-06-19,117460,KODEX 에너지화학,Energy,0.25370118706758543,0.25370118706758543,0.18481919856272128,0.5353618061041842,0.875,2.0,True,rolling,20,20
2023-06-20,117460,KODEX 에너지화학,Energy,0.43289848085764565,0.43289848085764565,0.18903344029362223,0.96319088274494,0.375,6.0,True,rolling,20,20
2023-06-21,117460,KODEX 에너지화학,Energy,0.4723171387791151,0.4723171387791151,0.25922162630778156,1.035083987061445,0.375,6.0,True,rolling,20,20
2023-06-22,117460,KODEX 에너지화학,Energy,0.4687397063615978,0.4687397063615978,0.2614608977100714,1.0223383771114074,0.2857142857142857,6.0,True,rolling,20,20
2023-06-23,117460,KODEX 에너지화학,Energy,0.4936913630348353,0.4936913630348353,0.28484984739155744,1.1083129464122867,0.375,6.0,True,rolling,20,20
2023-06-26,117460,KODEX 에너지화학,Energy,0.4597390380014307,0.4597390380014307,0.2441143653213892,1.0068663031553684,0.375,6.0,True,rolling,20,20
2023-06-27,117460,KODEX 에너지화학,Energy,0.4783714850101254,0.4783714850101254,0.2378739498698047,1.06119414962868,0.4285714285714286,5.0,True,rolling,20,20
2023-06-28,117460,KODEX 에너지화학,Energy,0.5269136805072393,0.5269136805072393,0.27962476363629196,1.442284304206607,0.5,5.0,True,rolling,20,20
2023-06-29,117460,KODEX 에너지화학,Energy,0.5236486555223268,0.5236486555223268,0.2770566371224285,1.4801991986547947,0.5714285714285714,4.0,True,rolling,20,20
2023-06-30,117460,KODEX 에너지화학,Energy,0.5431140927336852,0.5431140927336852,0.29643430626130207,1.5838618004004965,0.5714285714285714,4.0,True,rolling,20,20
2023-07-03,117460,KODEX 에너지화학,Energy,0.6332332494009588,0.6332332494009588,0.4843455691945877,2.0154973571376993,0.375,6.0,True,rolling,20,20
2023-07-04,117460,KODEX 에너지화학,Energy,0.6389751899018027,0.6389751899018027,0.49381895613936067,2.041799248140648,0.375,6.0,True,rolling,20,20
2023-07-05,117460,KODEX 에너지화학,Energy,0.6325976023282697,0.6325976023282697,0.4443709056250708,1.798253965800588,0.375,6.0,True,rolling,20,20
2023-07-06,117460,KODEX 에너지화학,Energy,0.6498575207558609,0.6498575207558609,0.4709702719971416,1.830286605992359,0.25,7.0,True,rolling,20,20
2023-07-07,117460,KODEX 에너지화학,Energy,0.5730022270813929,0.5730022270813929,0.4308199884817724,1.6391860408988796,0.625,4.0,True,rolling,20,20
2023-07-10,117460,KODEX 에너지화학,Energy,0.5805485613544845,0.5805485613544845,0.430849869437252,1.680287561575224,0.5,5.0,True,rolling,20,20
2023-07-11,117460,KODEX 에너지화학,Energy,0.5419699297674475,0.5419699297674475,0.4192413367356586,1.3214716830946471,0.8571428571428572,2.0,True,rolling,20,20
2023-07-12,117460,KODEX 에너지화학,Energy,0.5056348773807159,0.5056348773807159,0.3890201243420865,1.1404867995387762,1.0,1.0,True,rolling,20,20
2023-07-13,117460,KODEX 에너지화학,Energy,0.5333169587024078,0.5333169587024078,0.40826997160536793,1.1932410661310309,1.0,1.0,True,rolling,20,20
2023-07-14,117460,KODEX 에너지화학,Energy,0.5292534829612994,0.5292534829612994,0.41710950598419766,1.0865348179887542,1.0,1.0,True,rolling,20,20
2023-07-17,117460,KODEX 에너지화학,Energy,0.5731346864393462,0.5731346864393462,0.42154474291782845,1.1659504911878358,0.8571428571428572,2.0,True,rolling,20,20
2023-07-18,117460,KODEX 에너지화학,Energy,0.4330922943625314,0.4330922943625314,0.31681349301088746,0.9569012688017384,1.0,1.0,True,rolling,20,20
2023-07-19,117460,KODEX 에너지화학,Energy,0.40137766230463306,0.40137766230463306,0.3180586377761769,0.8954579110440586,1.0,1.0,True,rolling,20,20
2023-07-20,117460,KODEX 에너지화학,Energy,0.40006320647833865,0.40006320647833865,0.31962846617784296,0.8888529029489949,1.0,1.0,True,rolling,20,20
2023-07-21,117460,KODEX 에너지화학,Energy,0.38116805270402093,0.38116805270402093,0.3204985648596642,0.8428671577595964,1.0,1.0,True,rolling,20,20
2023-07-24,117460,KODEX 에너지화학,Energy,0.4281878259911579,0.4281878259911579,0.3488506602932508,0.9616314457319025,0.875,2.0,True,rolling,20,20
2023-07-25,117460,KODEX 에너지화학,Energy,0.4155924698103846,0.4155924698103846,0.34152838204699176,0.962788204750239,0.875,2.0,True,rolling,20,20
2023-07-26,117460,KODEX 에너지화학,Energy,0.46772693464206844,0.46772693464206844,0.40799102516077185,0.9793050919371298,0.875,2.0,True,rolling,20,20
2023-07-27,117460,KODEX 에너지화학,Energy,0.07309324872057153,0.07309324872057153,0.04360083680613647,0.23081579780644448,1.0,1.0,True,rolling,20,20
2023-07-28,117460,KODEX 에너지화학,Energy,0.05197898405583101,0.05197898405583101,0.030477848221156307,0.16530936977144065,1.0,1.0,True,rolling,20,20
2023-07-31,117460,KODEX 에너지화학,Energy,-0.053776796669318935,-0.053776796669318935,0.06316792100699929,-0.17988799045310264,1.0,1.0,True,rolling,20,20
2023-08-01,117460,KODEX 에너지화학,Energy,-0.048071344506583194,-0.048071344506583194,0.07644078795724427,-0.14920378400136014,1.0,1.0,True,rolling,20,20
2023-08-02,117460,KODEX 에너지화학,Energy,0.13095612459717754,0.13095612459717754,0.2086971823389886,0.3837883641606627,1.0,1.0,True,rolling,20,20
2023-08-03,117460,KODEX 에너지화학,Energy,0.07696583326795246,0.07696583326795246,0.18101504427896503,0.22662730046541305,1.0,1.0,True,rolling,20,20
2023-08-04,117460,KODEX 에너지화학,Energy,0.08233060103158475,0.08233060103158475,0.17978949190052895,0.25844675245302023,1.0,1.0,True,rolling,20,20
2023-08-07,117460,KODEX 에너지화학,Energy,0.10609560648971003,0.10609560648971003,0.18598767305842348,0.3535334996730214,1.0,1.0,True,rolling,20,20
2023-08-08,117460,KODEX 에너지화학,Energy,0.09196856643135606,0.09196856643135606,0.18621653100228153,0.32589280298803214,1.0,1.0,True,rolling,20,20
2023-08-09,117460,KODEX 에너지화학,Energy,0.12344710321023986,0.12344710321023986,0.20435280892042573,0.4290255530098814,1.0,1.0,True,rolling,20,20
2023-08-10,117460,KODEX 에너지화학,Energy,0.10425075749444213,0.10425075749444213,0.20007060407986096,0.3667885329319664,1.0,1.0,True,rolling,20,20
2023-08-11,117460,KODEX 에너지화학,Energy,0.0874543816556281,0.0874543816556281,0.2027340318612655,0.33209560262137744,1.0,1.0,True,rolling,20,20
2023-08-14,117460,KODEX 에너지화학,Energy,0.1218605006859927,0.1218605006859927,0.23578055322857475,0.46363785703428695,1.0,1.0,True,rolling,20,20
2023-08-16,117460,KODEX 에너지화학,Energy,0.23768838287512267,0.23768838287512267,0.3060850297317053,0.8591972033992225,1.0,1.0,True,rolling,20,20
2023-08-17,117460,KODEX 에너지화학,Energy,0.2314361626696171,0.2314361626696171,0.29827095647059976,0.8445801223007311,1.0,1.0,True,rolling,20,20
2023-08-18,117460,KODEX 에너지화학,Energy,0.23739380575273297,0.23739380575273297,0.30514665897809673,0.8661178142195706,1.0,1.0,True,rolling,20,20
2023-08-21,117460,KODEX 에너지화학,Energy,0.23928431326171798,0.23928431326171798,0.3083039791914948,0.8831166496956717,1.0,1.0,True,rolling,20,20
2023-08-22,117460,KODEX 에너지화학,Energy,0.22526932347945908,0.22526932347945908,0.32055264896487423,0.83628425847963,1.0,1.0,True,rolling,20,20
2023-08-23,117460,KODEX 에너지화학,Energy,0.2066838903969509,0.2066838903969509,0.32072499110899916,0.7474298497539517,1.0,1.0,True,rolling,20,20
2023-08-24,117460,KODEX 에너지화학,Energy,0.20017913197762133,0.20017913197762133,0.3192429152859973,0.6988720887670943,1.0,1.0,True,rolling,20,20
2023-08-25,117460,KODEX 에너지화학,Energy,0.5529181720765262,0.5529181720765262,0.31568543651832853,1.5288432055138375,0.4285714285714286,5.0,True,rolling,20,20
2023-08-28,117460,KODEX 에너지화학,Energy,0.5824282923850188,0.5824282923850188,0.3255335275388173,1.5330952995531275,0.375,6.0,True,rolling,20,20
2023-08-29,117460,KODEX 에너지화학,Energy,0.5681354786884829,0.5681354786884829,0.31581125218479195,1.3328978533444313,0.375,6.0,True,rolling,20,20
2023-08-30,117460,KODEX 에너지화학,Energy,0.5797164038914271,0.5797164038914271,0.32170931259985047,1.5176331477966114,0.375,6.0,True,rolling,20,20
2023-08-31,117460,KODEX 에너지화학,Energy,0.4812182225249091,0.4812182225249091,0.3215305182104061,1.3827737588039366,0.5,5.0,True,rolling,20,20
2023-09-01,117460,KODEX 에너지화학,Energy,0.44943263523274735,0.44943263523274735,0.26082017414149444,1.2150974730532236,0.375,6.0,True,rolling,20,20
2023-09-04,117460,KODEX 에너지화학,Energy,0.44608276334630026,0.44608276334630026,0.2559421178956565,1.180547720850183,0.5714285714285714,4.0,True,rolling,20,20
2023-09-05,117460,KODEX 에너지화학,Energy,0.47550499821196,0.47550499821196,0.2568012887294126,1.0918906331455704,0.5,4.0,True,rolling,20,20
2023-09-06,117460,KODEX 에너지화학,Energy,0.5113769420181348,0.5113769420181348,0.2724755906401091,1.2042599020175786,0.625,4.0,True,rolling,20,20
2023-09-07,117460,KODEX 에너지화학,Energy,0.4885597904288755,0.4885597904288755,0.2874710270272373,1.2137404037122455,0.4285714285714286,5.0,True,rolling,20,20
2023-09-08,117460,KODEX 에너지화학,Energy,0.5136780287940642,0.5136780287940642,0.28804275016647213,1.2618432371705826,0.4285714285714286,5.0,True,rolling,20,20
2023-09-11,117460,KODEX 에너지화학,Energy,0.5067420901481835,0.5067420901481835,0.28223550696814365,1.2448500938983371,0.5,5.0,True,rolling,20,20
2023-09-12,117460,KODEX 에너지화학,Energy,0.4720426176992481,0.4720426176992481,0.2928744757413886,1.142289033365656,0.625,4.0,True,rolling,20,20
2023-09-13,117460,KODEX 에너지화학,Energy,0.2574682269894924,0.2574682269894924,0.2789754517354017,0.6682454002145201,0.625,4.0,True,rolling,20,20
2023-09-14,117460,KODEX 에너지화학,Energy,0.40611711200785944,0.40611711200785944,0.31525794712430105,0.9525284225380499,0.5,4.0,True,rolling,20,20
2023-09-15,117460,KODEX 에너지화학,Energy,0.41354916122374924,0.41354916122374924,0.33134622546320724,0.934180764318741,0.625,4.0,True,rolling,20,20
2023-09-18,117460,KODEX 에너지화학,Energy,0.3764047603263628,0.3764047603263628,0.3013208811257841,0.7101190354554991,0.625,4.0,True,rolling,20,20
2023-09-19,117460,KODEX 에너지화학,Energy,0.39067447540243444,0.39067447540243444,0.3079984414823689,0.6550187375697009,0.625,4.0,True,rolling,20,20
2023-09-20,117460,KODEX 에너지화학,Energy,0.3592776520733698,0.3592776520733698,0.3061279918055099,0.6023538671531296,0.5,4.0,True,rolling,20,20
2023-09-21,117460,KODEX 에너지화학,Energy,0.40694306161244237,0.40694306161244237,0.34592162469973736,0.6547213741611264,0.875,2.0,True,rolling,20,20
2023-09-22,117460,KODEX 에너지화학,Energy,0.44354211316929154,0.44354211316929154,0.3486659850946298,0.7458235113983006,0.875,2.0,True,rolling,20,20
2023-09-25,117460,KODEX 에너지화학,Energy,0.3827858101823048,0.3827858101823048,0.3339346522980425,0.6569809351907676,0.8571428571428572,2.0,True,rolling,20,20
2023-09-26,117460,KODEX 에너지화학,Energy,0.3846716026673831,0.3846716026673831,0.3397395133818911,0.6280602520801709,0.875,2.0,True,rolling,20,20
2023-09-27,117460,KODEX 에너지화학,Energy,0.3827559340497283,0.3827559340497283,0.3443801386076118,0.5978401479314265,0.875,2.0,True,rolling,20,20
2023-10-04,117460,KODEX 에너지화학,Energy,0.5935661920477817,0.5935661920477817,0.48204261730404535,0.9450023306342864,0.8571428571428572,2.0,True,rolling,20,20
2023-10-05,117460,KODEX 에너지화학,Energy,0.6953167984497894,0.6953167984497894,0.48168900615726934,1.1315979855679072,0.75,3.0,True,rolling,20,20
2023-10-06,117460,KODEX 에너지화학,Energy,0.6976022960509566,0.6976022960509566,0.4851424921628378,1.1754243457029163,0.75,3.0,True,rolling,20,20
2023-10-10,117460,KODEX 에너지화학,Energy,0.6494688237574038,0.6494688237574038,0.461497827654495,1.1090880042629898,0.75,3.0,True,rolling,20,20
2023-10-11,117460,KODEX 에너지화학,Energy,0.7194892665055984,0.7194892665055984,0.5383234944535035,1.381256203322608,0.625,4.0,True,rolling,20,20
2023-10-12,117460,KODEX 에너지화학,Energy,0.7429898756753507,0.7429898756753507,0.5645177575745028,1.4392837668432548,0.4285714285714286,5.0,True,rolling,20,20
2023-10-13,117460,KODEX 에너지화학,Energy,0.7485805749939609,0.7485805749939609,0.5742918922969659,1.4493348365355474,0.5,5.0,True,rolling,20,20
2023-10-16,117460,KODEX 에너지화학,Energy,0.7466112814074094,0.7466112814074094,0.5689185991999159,1.440488911119501,0.33333333333333337,5.0,True,rolling,20,20
2023-10-17,117460,KODEX 에너지화학,Energy,0.7368460566476381,0.7368460566476381,0.5634979109389303,1.3665076050868468,0.5,5.0,True,rolling,20,20
2023-10-18,117460,KODEX 에너지화학,Energy,0.7631515284218983,0.7631515284218983,0.5542582316922615,1.3577330523316837,0.5,5.0,True,rolling,20,20
2023-10-19,117460,KODEX 에너지화학,Energy,0.7651317293087773,0.7651317293087773,0.5791926238288564,1.3513601129339763,0.5,5.0,True,rolling,20,20
2023-10-20,117460,KODEX 에너지화학,Energy,0.7745340391127107,0.7745340391127107,0.6095142261469371,1.457938986499384,0.5,5.0,True,rolling,20,20
2023-10-23,117460,KODEX 에너지화학,Energy,0.8150085479134884,0.8150085479134884,0.6114925751937843,1.5441438891188877,0.375,6.0,True,rolling,20,20
2023-10-24,117460,KODEX 에너지화학,Energy,0.8266719308982012,0.8266719308982012,0.6253615454688779,1.5996974370366275,0.375,6.0,True,rolling,20,20
2023-10-25,117460,KODEX 에너지화학,Energy,0.8123614497386462,0.8123614497386462,0.6224768746124002,1.6078123094034729,0.25,7.0,True,rolling,20,20
2023-10-26,117460,KODEX 에너지화학,Energy,0.854840691150556,0.854840691150556,0.6895303626874877,1.774063065320654,0.125,8.0,True,rolling,20,20
2023-10-27,117460,KODEX 에너지화학,Energy,0.8489641253922143,0.8489641253922143,0.6880450872382603,1.8017570904581923,0.16666666666666663,6.0,True,rolling,20,20
2023-10-30,117460,KODEX 에너지화학,Energy,0.8568095271275858,0.8568095271275858,0.6834605762970551,1.8933816794742637,0.1428571428571429,7.0,True,rolling,20,20
2023-10-31,117460,KODEX 에너지화학,Energy,0.8716108606450382,0.8716108606450382,0.6952449782658766,1.9738986609547022,0.0,8.0,True,rolling,20,20
2023-11-01,117460,KODEX 에너지화학,Energy,0.8356066873080656,0.8356066873080656,0.6674376827865913,1.800094736921464,0.16666666666666663,6.0,True,rolling,20,20
2023-11-02,117460,KODEX 에너지화학,Energy,0.8311877420250896,0.8311877420250896,0.7043338956814915,1.9368054724675494,0.2857142857142857,6.0,True,rolling,20,20
2023-11-03,117460,KODEX 에너지화학,Energy,0.8363558047141512,0.8363558047141512,0.7126635401890528,1.9386538982101533,0.25,7.0,True,rolling,20,20
2023-11-06,117460,KODEX 에너지화학,Energy,0.9072946509637658,0.9072946509637658,0.8308575594514248,2.207825518188542,0.25,7.0,True,rolling,20,20
2023-11-07,117460,KODEX 에너지화학,Energy,0.9171537288569765,0.9171537288569765,0.831754303351828,2.146730191375829,0.2857142857142857,6.0,True,rolling,20,20
2023-11-08,117460,KODEX 에너지화학,Energy,0.9093324459654099,0.9093324459654099,0.8315230165437095,2.1624163295051804,0.25,7.0,True,rolling,20,20
2023-11-09,117460,KODEX 에너지화학,Energy,0.9017926722931586,0.9017926722931586,0.8268974135983954,2.137617993339591,0.1428571428571429,7.0,True,rolling,20,20
2023-11-10,117460,KODEX 에너지화학,Energy,0.8989857272999918,0.8989857272999918,0.8260248105423913,2.1588750610968854,0.25,7.0,True,rolling,20,20
2023-11-13,117460,KODEX 에너지화학,Energy,0.9050186915310767,0.9050186915310767,0.8259850803432617,2.186078230171926,0.25,7.0,True,rolling,20,20
2023-11-14,117460,KODEX 에너지화학,Energy,0.9144010126326737,0.9144010126326737,0.8301317939251209,2.255526259542219,0.25,7.0,True,rolling,20,20
2023-11-15,117460,KODEX 에너지화학,Energy,0.9123772779014437,0.9123772779014437,0.8281229180026973,2.1772934194746796,0.25,7.0,True,rolling,20,20
2023-11-16,117460,KODEX 에너지화학,Energy,0.9180048514215806,0.9180048514215806,0.8279547316072389,2.2623228428867868,0.16666666666666663,6.0,True,rolling,20,20
2023-11-17,117460,KODEX 에너지화학,Energy,0.9141994785737505,0.9141994785737505,0.8287784456538423,2.264783473691934,0.25,7.0,True,rolling,20,20
2023-11-20,117460,KODEX 에너지화학,Energy,0.9118825817116321,0.9118825817116321,0.8294731639308861,2.2874739318190205,0.1428571428571429,7.0,True,rolling,20,20
2023-11-21,117460,KODEX 에너지화학,Energy,0.9116977303333104,0.9116977303333104,0.8298939012616835,2.280891827578792,0.25,7.0,True,rolling,20,20
2023-11-22,117460,KODEX 에너지화학,Energy,0.9136668811675221,0.9136668811675221,0.8294342049135108,2.2469982906845596,0.1428571428571429,7.0,True,rolling,20,20
2023-11-23,117460,KODEX 에너지화학,Energy,0.8956386696440046,0.8956386696440046,0.8282668059083327,2.259674102167096,0.25,7.0,True,rolling,20,20
2023-11-24,117460,KODEX 에너지화학,Energy,0.8982581496705733,0.8982581496705733,0.8263240555506859,2.2309844334995383,0.25,7.0,True,rolling,20,20
2023-11-27,117460,KODEX 에너지화학,Energy,0.9130122054276548,0.9130122054276548,0.8263707079364494,2.2354205231025315,0.25,7.0,True,rolling,20,20
2023-11-28,117460,KODEX 에너지화학,Energy,0.9040996020357497,0.9040996020357497,0.8250116206339934,2.2115317702287793,0.2857142857142857,6.0,True,rolling,20,20
2023-11-29,117460,KODEX 에너지화학,Energy,0.927293856298034,0.927293856298034,0.8214962959933418,2.268201829445024,0.25,7.0,True,rolling,20,20
2023-11-30,117460,KODEX 에너지화학,Energy,0.9246329682261027,0.9246329682261027,0.8224519697263061,2.227843756935326,0.25,7.0,True,rolling,20,20
2023-12-01,117460,KODEX 에너지화학,Energy,0.9235669012209371,0.9235669012209371,0.8246280529827384,2.1924709092446584,0.1428571428571429,7.0,True,rolling,20,20
2023-12-04,117460,KODEX 에너지화학,Energy,0.7763492797960994,0.7763492797960994,0.8088883214386072,1.6074166422528906,0.25,7.0,True,rolling,20,20
2023-12-05,117460,KODEX 에너지화학,Energy,0.7390396870848079,0.7390396870848079,0.8008482539070393,1.5931226401145577,0.1428571428571429,7.0,True,rolling,20,20
2023-12-06,117460,KODEX 에너지화학,Energy,0.7197811287647593,0.7197811287647593,0.7996527892416483,1.373263743879757,0.375,6.0,True,rolling,20,20
2023-12-07,117460,KODEX 에너지화학,Energy,0.7384161460011254,0.7384161460011254,0.7986840487618948,1.3932265563962114,0.4285714285714286,5.0,True,rolling,20,20
2023-12-08,117460,KODEX 에너지화학,Energy,0.7668627315677242,0.7668627315677242,0.8016953419806446,1.2605297697355249,0.25,7.0,True,rolling,20,20
2023-12-11,117460,KODEX 에너지화학,Energy,0.7580453176891083,0.7580453176891083,0.7998091135976266,1.2508181866465096,0.25,7.0,True,rolling,20,20
2023-12-12,117460,KODEX 에너지화학,Energy,0.746358882672039,0.746358882672039,0.7977407605241239,1.136245784067263,0.25,7.0,True,rolling,20,20
2023-12-13,117460,KODEX 에너지화학,Energy,0.7192967677906107,0.7192967677906107,0.8034999012029563,1.2295680438887133,0.2857142857142857,6.0,True,rolling,20,20
2023-12-14,117460,KODEX 에너지화학,Energy,0.7089322121559115,0.7089322121559115,0.7960603579498037,1.1309438826189497,0.2857142857142857,6.0,True,rolling,20,20
2023-12-15,117460,KODEX 에너지화학,Energy,0.6565945058093015,0.6565945058093015,0.7874039521376928,1.2066067174784894,0.1428571428571429,7.0,True,rolling,20,20
2023-12-18,117460,KODEX 에너지화학,Energy,0.6309700950210113,0.6309700950210113,0.7830274868960537,1.1131635785017393,0.375,6.0,True,rolling,20,20
2023-12-19,117460,KODEX 에너지화학,Energy,0.6200924715070018,0.6200924715070018,0.7811281392977838,1.1039276995328533,0.25,7.0,True,rolling,20,20
2023-12-20,117460,KODEX 에너지화학,Energy,0.6313166469710546,0.6313166469710546,0.7699800378152363,1.003851233107534,0.375,6.0,True,rolling,20,20
