date,nav_open_pre,nav_open_post,nav_close,daily_return,commission,turnover_value,turnover_ratio,rebalanced,stock_weight,cash_weight,effective_num_positions
2026-04-01,100000000.0,99985767.0469,101199009.0469,0.011990090469000014,14232.953099999999,94886354.0,0.94886354,True,0.95,0.050000000000000044,10
2026-04-02,101958496.0469,101957228.0615,98258423.0615,-0.029057458300181693,1267.9853999999998,8453236.0,0.08290859837822231,True,0.95,0.050000000000000044,10
2026-04-03,100011608.0615,100009978.1621,99201231.1621,0.009595188597825377,1629.8993999999998,10865996.0,0.10864734814900874,True,0.95,0.050000000000000044,10
2026-04-06,99666885.1621,99666204.82195,99680433.82195,0.004830612022011627,680.34015,4535601.0,0.04550760257655507,True,0.95,0.050000000000000044,10
2026-04-07,99912115.82195,99911048.01755,99302098.01755,-0.003795487137182696,1067.8044,7118696.0,0.07124957710520301,True,0.95,0.050000000000000044,10
2026-04-08,102547578.01755,102545920.77090001,103235820.77090001,0.03961369227722433,1657.2466499999998,11048311.0,0.10773839044847251,True,0.95,0.050000000000000044,10
2026-04-09,103500371.77090001,103499164.86235002,103447348.86235002,0.0020489796067919563,1206.9085499999999,8046057.0,0.0777394019203148,True,0.95,0.050000000000000044,10
2026-04-10,104219708.86235002,104218622.38355002,104851729.38355002,0.013575800024307139,1086.4787999999999,7243192.0,0.06949925382699515,True,0.95,0.050000000000000044,10
2026-04-13,103840752.38355002,103839776.18475002,104518714.18475002,-0.003176058237263968,976.1987999999999,6507992.0,0.06267281246154537,True,0.95,0.050000000000000044,10
2026-04-14,105932250.18475002,105930827.48710002,105905284.48710002,0.013266239574083016,1422.6976499999998,9484651.0,0.08953506588841825,True,0.95,0.050000000000000044,10
2026-04-15,107365386.48710002,107363950.57745002,107671649.57745002,0.016678724757735353,1435.9096499999998,9572731.0,0.08916030867313243,True,0.95,0.050000000000000044,10
2026-04-16,108596048.57745002,108594282.73545003,109041262.73545003,0.012720276538670694,1765.8419999999999,11772280.0,0.10840431262656931,True,0.95,0.050000000000000044,10
2026-04-17,109437936.73545003,109436043.21315002,109236106.21315002,0.0017868784055876663,1893.5222999999999,12623482.0,0.11534831865951013,True,0.95,0.050000000000000044,10
2026-04-20,109539249.21315002,109537275.75030002,109403064.75030002,0.0015284189718756114,1973.46285,13156419.0,0.12010689405401358,True,0.95,0.050000000000000044,10
2026-04-21,109932866.75030002,109931802.44600002,110444068.44600002,0.009515306523413924,1064.3043,7095362.0,0.06454268145409421,True,0.95,0.050000000000000044,10
2026-04-22,110608858.44600002,110607723.32970002,111364443.32970002,0.008333402568830639,1135.1163,7567442.0,0.06841623814149095,True,0.95,0.050000000000000044,10
2026-04-23,112365508.32970002,112364299.94095002,111268954.94095002,-0.0008574405429145893,1208.3887499999998,8055925.0,0.07169393099137246,True,0.95,0.050000000000000044,10
2026-04-24,111491598.94095002,111491204.30325001,112379017.30325001,0.009976388857872331,394.63769999999994,2630918.0,0.023597455099674633,True,0.95,0.050000000000000044,10
2026-04-27,113291810.30325001,113290251.57525001,113255485.57525001,0.007799216375374396,1558.7279999999998,10391520.0,0.09172348797485759,True,0.95,0.050000000000000044,10
2026-04-28,113982585.57525001,113981613.45945002,114234784.45945002,0.008646811933443521,972.1157999999999,6480772.0,0.056857562646896335,True,0.95,0.050000000000000044,10
2026-04-29,114739758.45945002,114738347.65470003,114568312.65470003,0.002919672819695185,1410.8047499999998,9405365.0,0.08197128115206843,True,0.95,0.050000000000000044,10
2026-04-30,114468932.65470003,114466879.59345002,113015734.59345002,-0.013551548637443456,2053.0612499999997,13687075.0,0.11957021597543495,True,0.95,0.050000000000000044,10
2026-05-04,115014059.59345002,115012354.58995003,114821024.58995003,0.01597379341021976,1705.0034999999998,11366690.0,0.09882870007526737,True,0.95,0.050000000000000044,10
