strategy,decision_date,execution_date,ticker,ETF_id,name,open,close,prev_qty,target_qty,delta_qty,side,prev_value_open,target_value_open,delta_value_open,trade_turnover_value,day_turnover_value,commission_allocated,day_commission,nav_open_pre,nav_open_post,nav_close,daily_return,stock_ratio,cash_weight,target_sleeve_weight,target_portfolio_weight,prev_portfolio_weight_open,actual_portfolio_weight_open,cash_after_rebalance,rebalanced
A5,2026-03-31,2026-04-01,117460,ETF_001,KODEX 에너지화학,15037.0,15042.0,0.0,581.0,581.0,BUY,0.0,8736497.0,8736497.0,8736497.0,94886354.0,1310.47455,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.0919943437569029,0.0873946265690577,0.0,0.0873774063852708,5099413.046900004,True
A5,2026-03-31,2026-04-01,117680,ETF_002,KODEX 철강,14322.0,14714.0,0.0,644.0,644.0,BUY,0.0,9223368.0,9223368.0,9223368.0,94886354.0,1383.5051999999998,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.0971054393536754,0.0922501673859916,0.0,0.0922468094451245,5099413.046900004,True
A5,2026-03-31,2026-04-01,139260,ETF_003,TIGER 200 IT,77999.0,80021.0,0.0,121.0,121.0,BUY,0.0,9437879.0,9437879.0,9437879.0,94886354.0,1415.68185,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.0998632524184257,0.0948700897975044,0.0,0.0943922248010859,5099413.046900004,True
A5,2026-03-31,2026-04-01,139270,ETF_004,TIGER 200 금융,15811.0,15865.0,0.0,583.0,583.0,BUY,0.0,9217813.0,9217813.0,9217813.0,94886354.0,1382.6719499999997,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.0971054393536754,0.0922501673859916,0.0,0.0921912515375936,5099413.046900004,True
A5,2026-03-31,2026-04-01,227550,ETF_005,TIGER 200 산업재,13416.0,13848.0,0.0,656.0,656.0,BUY,0.0,8800896.0,8800896.0,8800896.0,94886354.0,1320.1344,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.0927805061810497,0.0881414808719972,0.0,0.088021488057113,5099413.046900004,True
A5,2026-03-31,2026-04-01,266390,ETF_006,KODEX 경기소비재,10604.0,10668.0,0.0,893.0,893.0,BUY,0.0,9469372.0,9469372.0,9469372.0,94886354.0,1420.4057999999998,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.0997780688974412,0.0947891654525691,0.0,0.0947071996313058,5099413.046900004,True
A5,2026-03-31,2026-04-01,266410,ETF_007,KODEX 필수소비재,9481.0,9496.0,0.0,1051.0,1051.0,BUY,0.0,9964531.0,9964531.0,9964531.0,94886354.0,1494.67965,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.1049809443712683,0.0997318971527049,0.0,0.0996594944891103,5099413.046900004,True
A5,2026-03-31,2026-04-01,266420,ETF_008,KODEX 헬스케어,22240.0,22675.0,0.0,482.0,482.0,BUY,0.0,10719680.0,10719680.0,10719680.0,94886354.0,1607.952,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.1129954972518791,0.1073457223892852,0.0,0.1072120594421379,5099413.046900004,True
A5,2026-03-31,2026-04-01,315270,ETF_009,TIGER 200 커뮤니케이션서비스,21539.0,21758.0,0.0,434.0,434.0,BUY,0.0,9347926.0,9347926.0,9347926.0,94886354.0,1402.1889,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.0984155640444135,0.0934947858421928,0.0,0.0934925667531779,5099413.046900004,True
A5,2026-03-31,2026-04-01,476800,ETF_010,KODEX 한국부동산리츠인프라,4811.0,4821.0,0.0,2072.0,2072.0,BUY,0.0,9968392.0,9968392.0,9968392.0,94886354.0,1495.2587999999998,14232.9531,100000000.0,99985767.0469,101199009.0469,0.011990090469,0.95,0.05,0.1049809443712683,0.0997318971527049,0.0,0.0996981099852357,5099413.046900004,True
