strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,target_qty_at_close_floor,executable_qty_change_at_close,side
A1,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,277.0,22610.0,0.0526859209649285,0.1111111111111111,0.1055555555555555,0.0528696345906269,12547778.717161387,6284808.717161387,277.9658875347805,554,277,BUY
A1,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1056.0,4805.0,0.0426846333049215,0.0,0.0,-0.0426846333049215,0.0,-5074080.0,-1056.0,0,-1056,SELL
A2,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1964.0,18975.0,0.3078924167167594,0.3241097297059188,0.3079042432206228,1.1826503863443529e-05,37268331.4647354,1431.464735403657,0.0754395117472283,1964,0,HOLD
A2,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2128.0,17765.0,0.3123291792493348,0.3287801854467148,0.312341176174379,1.1996925044277518e-05,37805372.092294775,1452.0922947749496,0.0817389414452546,2128,0,HOLD
A2,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,321.0,124335.0,0.3297419148366386,0.3471100848473664,0.329754580604998,1.2665768359454432e-05,39913068.0482248,1533.048224799335,0.0123299812989048,321,0,HOLD
A3,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1933.0,17765.0,0.2685451472592076,0.2825470098895067,0.2684196593950314,-0.0001254878641762,34323698.45698708,-16046.543012917042,-0.9032672678253332,1932,-1,SELL
A3,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,421.0,124335.0,0.4093508886674428,0.4306943200018397,0.4091596040017478,-0.000191284665695,52320574.80509639,-24460.194903612137,-0.1967281530028723,420,-1,SELL
A3,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1649.0,21135.0,0.2725480949959357,0.2867586701086534,0.2724207366032208,-0.0001273583927149,34835329.26639403,-16285.733605973424,-0.7705575399088442,1648,-1,SELL
A4,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,752.0,18975.0,0.1187585618671416,0.1926900584795322,0.1830555555555555,0.0642969936884139,21994678.044817604,7725478.044817604,407.1398179087012,1159,407,BUY
A4,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,938.0,17765.0,0.1386862339004601,0.1187426900584795,0.1128055555555555,-0.0258806783449045,13553928.306525689,-3109641.6934743114,-175.04315752740283,762,-176,SELL
