strategy,decision_date,execution_date,ticker,ETF_id,name,open,close,prev_qty,target_qty,delta_qty,side,prev_value_open,target_value_open,delta_value_open,trade_turnover_value,day_turnover_value,commission_allocated,day_commission,nav_open_pre,nav_open_post,nav_close,daily_return,stock_ratio,cash_weight,target_sleeve_weight,target_portfolio_weight,prev_portfolio_weight_open,actual_portfolio_weight_open,cash_after_rebalance,rebalanced
A2,2026-03-31,2026-04-01,117460,ETF_001,KODEX 에너지화학,15037.0,15042.0,0.0,1579.0,1579.0,BUY,0.0,23743423.0,23743423.0,23743423.0,94931519.0,3561.51345,14239.72785,100000000.0,99985760.27215,101837128.27215,0.0183712827214999,0.95,0.05,0.25,0.2375,0.0,0.2374680448033107,5054241.272149995,True
A2,2026-03-31,2026-04-01,139260,ETF_003,TIGER 200 IT,77999.0,80021.0,0.0,304.0,304.0,BUY,0.0,23711696.0,23711696.0,23711696.0,94931519.0,3556.7544,14239.72785,100000000.0,99985760.27215,101837128.27215,0.0183712827214999,0.95,0.05,0.25,0.2375,0.0,0.2371507296184919,5054241.272149995,True
A2,2026-03-31,2026-04-01,227550,ETF_005,TIGER 200 산업재,13416.0,13848.0,0.0,1770.0,1770.0,BUY,0.0,23746320.0,23746320.0,23746320.0,94931519.0,3561.9479999999994,14239.72785,100000000.0,99985760.27215,101837128.27215,0.0183712827214999,0.95,0.05,0.25,0.2375,0.0,0.2374970189291473,5054241.272149995,True
A2,2026-03-31,2026-04-01,266420,ETF_008,KODEX 헬스케어,22240.0,22675.0,0.0,1067.0,1067.0,BUY,0.0,23730080.0,23730080.0,23730080.0,94931519.0,3559.512,14239.72785,100000000.0,99985760.27215,101837128.27215,0.0183712827214999,0.95,0.05,0.25,0.2375,0.0,0.2373345958005359,5054241.272149995,True
A2,2026-04-01,2026-04-02,117460,ETF_001,KODEX 에너지화학,15177.0,14508.0,1579.0,1581.0,2.0,BUY,23964483.0,23994837.0,30354.0,30354.0,442606.0,4.5531,66.39089999999999,102951290.27215,102951223.88125,98237943.88125,-0.0353425558238594,0.95,0.05,0.2454082404051451,0.2331378283848879,0.2327749650990317,0.2330699538616176,5253592.881249994,True
A2,2026-04-01,2026-04-02,139260,ETF_003,TIGER 200 IT,80904.0,76098.0,304.0,303.0,-1.0,SELL,24594816.0,24513912.0,-80904.0,80904.0,442606.0,12.135599999999997,66.39089999999999,102951290.27215,102951223.88125,98237943.88125,-0.0353425558238594,0.95,0.05,0.2513500553047151,0.2387825525394794,0.2388975984175042,0.238111904607135,5253592.881249994,True
A2,2026-04-01,2026-04-02,227550,ETF_005,TIGER 200 산업재,14124.0,13853.0,1770.0,1753.0,-17.0,SELL,24999480.0,24759372.0,-240108.0,240108.0,442606.0,36.0162,66.39089999999999,102951290.27215,102951223.88125,98237943.88125,-0.0353425558238594,0.95,0.05,0.2532571693175468,0.2405943108516694,0.2428282339533025,0.2404961404689945,5253592.881249994,True
A2,2026-04-01,2026-04-02,266420,ETF_008,KODEX 헬스케어,22810.0,21200.0,1067.0,1071.0,4.0,BUY,24338270.0,24429510.0,91240.0,91240.0,442606.0,13.685999999999998,66.39089999999999,102951290.27215,102951223.88125,98237943.88125,-0.0353425558238594,0.95,0.05,0.2499845349725928,0.2374853082239631,0.2364056821013335,0.2372920794820121,5253592.881249994,True
A2,2026-04-02,2026-04-03,117460,ETF_001,KODEX 에너지화학,14807.0,14902.0,1581.0,1585.0,4.0,BUY,23409867.0,23469095.0,59228.0,59228.0,535754.0,8.884199999999998,80.36309999999999,100168288.88125,100168208.51815,100030122.51815,0.0182432425404421,0.95,0.05,0.2466775081325243,0.2343436327258981,0.2337053698476622,0.2342968427527334,5031214.518149987,True
A2,2026-04-02,2026-04-03,139260,ETF_003,TIGER 200 IT,78364.0,78568.0,303.0,301.0,-2.0,SELL,23744292.0,23587564.0,-156728.0,156728.0,535754.0,23.5092,80.36309999999999,100168288.88125,100168208.51815,100030122.51815,0.0182432425404421,0.95,0.05,0.2479739198265738,0.2355752238352451,0.2370440013021384,0.2354795433495853,5031214.518149987,True
