strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,target_qty_at_close_floor,executable_qty_change_at_close,side
A1,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,274.0,22610.0,0.0526606527047575,0.1188888888888888,0.1129444444444444,0.0602837917396869,13287086.460520497,7091946.460520497,313.66415128352486,587,313,BUY
A1,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2116.0,4805.0,0.0864259511645091,0.06,0.0569999999999999,-0.0294259511645091,6705632.419328101,-3461747.580671899,-720.4469470701142,1395,-721,SELL
A2,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2111.0,17765.0,0.3121929068029593,0.3285289234797093,0.3121024773057238,-9.042949723553352e-05,37491052.231356256,-10862.76864374429,-0.6114702304387442,2110,-1,SELL
A2,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,319.0,124335.0,0.3301822084681104,0.3474595454811051,0.3300865682070498,-9.564026106062552e-05,39651376.29265683,-11488.707343168557,-0.0924012333065392,318,-1,SELL
A2,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1750.0,21135.0,0.3079001405459149,0.3240115310391855,0.3078109544872263,-8.918605868862839e-05,36975536.59838439,-10713.401615612209,-0.5069033175118149,1749,-1,SELL
A3,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,347.0,124335.0,0.3506479286019632,0.3691626287594314,0.3507044973214598,5.656871949660802e-05,43151205.299760014,6960.299760013819,0.0559802128122718,347,0,HOLD
A3,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,3134.0,12330.0,0.3140584427791321,0.3306411670038559,0.3141091086536631,5.066587453100846e-05,38648454.00489665,6234.004896648228,0.5055965041888263,3134,0,HOLD
A3,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1660.0,21135.0,0.2851403933911496,0.3001962042367126,0.285186394024877,4.600063372739438e-05,35089759.98669835,5659.9866983518,0.2678015944334895,1660,0,HOLD
A4,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,127.0,18975.0,0.0200698437047035,0.0683474295162345,0.0649300580404228,0.0448602143357192,7796277.809607046,5386452.809607046,283.8710308093305,410,283,BUY
A4,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,822.0,17765.0,0.121617343892754,0.1134934220655948,0.1078187509623151,-0.0137985929304389,12946006.22509426,-1656823.7749057394,-93.26337038591272,728,-94,SELL
A4,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,242.0,124335.0,0.2505920272716418,0.2053059832286774,0.1950406840672435,-0.0555513432043983,23418912.64316091,-6670157.356839091,-53.64665908102377,188,-54,SELL
A4,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1039.0,16910.0,0.1463246992090097,0.1220609444761752,0.1159578972523664,-0.0303668019566432,13923289.28205331,-3646200.7179466896,-215.623933645576,823,-216,SELL
A4,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,287.0,16605.0,0.0396898320847633,0.0714579456720994,0.0678850483884945,0.0281952163037311,8151089.223204302,3385454.2232043017,203.88161536912384,490,203,BUY
A4,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2292.0,12330.0,0.2353619072914655,0.1878406958472424,0.1784486610548802,-0.0569132462365852,21426676.308684733,-6833683.691315267,-554.2322539590647,1737,-555,SELL
A4,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,255.0,10225.0,0.0217151074163274,0.0542138968742095,0.051503202030499,0.0297880946141715,6184089.206636936,3576714.2066369355,349.80090040459027,604,349,BUY
A4,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,255.0,21135.0,0.0448849677500324,0.0514161520665881,0.0488453444632587,0.0039603767132262,5864955.101448366,475530.1014483664,22.499649938413363,277,22,BUY
