date,nav_open_pre,nav_open_post,nav_close,daily_return,commission,turnover_value,turnover_ratio,rebalanced,stock_weight,cash_weight,effective_num_positions
2026-04-01,100000000.0,99985771.23175,101205880.23175,0.012058802317499895,14228.76825,94858455.0,0.94858455,True,0.95,0.050000000000000044,10
2026-04-02,101983949.23175,101983762.10104999,98150202.10104999,-0.030192693583642072,187.1307,1247538.0,0.01223268964771186,True,0.95,0.050000000000000044,10
2026-04-03,99934654.10104999,99934438.03009999,99148033.03009999,0.010166366524876791,216.07094999999998,1440473.0,0.014414149055276165,True,0.95,0.050000000000000044,10
2026-04-06,99640087.03009999,99639906.15049998,99665246.15049998,0.005216574697381793,180.87959999999998,1205864.0,0.012102197378006344,True,0.95,0.050000000000000044,10
2026-04-07,99907487.15049998,99907330.34799999,99264365.34799999,-0.004022272737827182,156.80249999999998,1045350.0,0.010463179785768124,True,0.95,0.050000000000000044,10
2026-04-08,102587001.34799999,102586824.00674999,103200634.00674999,0.039654398080824604,177.34124999999997,1182275.0,0.011524608229744784,True,0.95,0.050000000000000044,10
2026-04-09,103461845.00674999,103461633.59854999,103407998.59854999,0.0020093344754688047,211.4082,1409388.0,0.013622297185093207,True,0.95,0.050000000000000044,10
2026-04-10,104183327.59854999,104183212.06255,104821551.06255,0.013669662725875664,115.53599999999999,770240.0,0.007393121507579108,True,0.95,0.050000000000000044,10
2026-04-13,103823178.06255,103823010.58184999,104491441.58184999,-0.0031492520131000123,167.48069999999998,1116538.0,0.010754226761651654,True,0.95,0.050000000000000044,10
2026-04-14,105881723.58184999,105881580.14404999,105844359.14404999,0.012947639937958222,143.43779999999998,956252.0,0.009031322570611408,True,0.95,0.050000000000000044,10
2026-04-15,107273646.14404999,107273432.66059999,107546718.66059999,0.01608361116564705,213.48344999999998,1423223.0,0.013267219407167881,True,0.95,0.050000000000000044,10
2026-04-16,108463719.66059999,108463513.69199999,108900599.69199999,0.012588771170904955,205.96859999999998,1373124.0,0.012659753918607259,True,0.95,0.050000000000000044,10
2026-04-17,109304085.69199999,109303993.75744998,109098363.75744998,0.0018160052929858672,91.93454999999999,612897.0,0.005607265237340146,True,0.95,0.050000000000000044,10
2026-04-20,109408412.75744998,109408330.50029999,109254036.50029999,0.0014269026361943826,82.25715,548381.0,0.005012237963964603,True,0.95,0.050000000000000044,10
2026-04-21,109791002.50029999,109790875.60765,110313512.60765,0.009697363514318269,126.89264999999999,845951.0,0.00770510315722537,True,0.95,0.050000000000000044,10
2026-04-22,110470683.60765,110470409.4543,111207137.4543,0.008100774107595798,274.15335,1827689.0,0.016544561328969944,True,0.95,0.050000000000000044,10
2026-04-23,112188329.4543,112188180.34470001,111100274.34470001,-0.000960937508565074,149.1096,994064.0,0.008860672093392145,True,0.95,0.050000000000000044,10
2026-04-24,111322789.34470001,111322715.43310001,112180879.43310001,0.00972639441957912,73.91159999999999,492744.0,0.004426263507234507,True,0.95,0.050000000000000044,10
2026-04-27,113097132.43310001,113096970.59030001,113050564.59030001,0.007752525756571815,161.84279999999998,1078952.0,0.009540047362723621,True,0.95,0.050000000000000044,10
2026-04-28,113753943.59030001,113753713.20515001,113929244.20515001,0.007772447824868189,230.38514999999998,1535901.0,0.013501958275237931,True,0.95,0.050000000000000044,10
2026-04-29,114447269.20515001,114447100.7079,114326460.7079,0.003486519247285935,168.49724999999998,1123315.0,0.009815131525649824,True,0.95,0.050000000000000044,10
2026-04-30,114242395.7079,114242099.2089,112764269.2089,-0.013664303865675853,296.49899999999997,1976660.0,0.01730233323409999,True,0.95,0.050000000000000044,10
2026-05-04,114788839.2089,114788686.8374,114636791.8374,0.016605637952843644,152.3715,1015810.0,0.008849379495434783,True,0.95,0.050000000000000044,10
