strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,target_qty_at_close_floor,executable_qty_change_at_close,side
A1,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,791.0,18975.0,0.12760660157298717,0.10666666666666663,0.10133333333333329,-0.026273268239653882,11918935.080565326,-3090289.919434674,-162.86112882396174,628,-163,SELL
A1,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,732.0,17765.0,0.1105582529892845,0.12444444444444444,0.11822222222222221,0.007663969232937717,13905424.260659553,901444.2606595531,50.742710985620775,782,50,BUY
A1,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,130.0,124335.0,0.13742053202980545,0.19999999999999996,0.18999999999999995,0.0525794679701945,22348003.27605999,6184453.276059989,49.740244308199536,179,49,BUY
A1,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,759.0,16910.0,0.10911897004294377,0.11555555555555554,0.10977777777777775,0.0006588077348339827,12912179.67061244,77489.67061243951,4.582476085892343,763,4,BUY
A1,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,673.0,16605.0,0.09500989076167432,0.1211111111111111,0.11505555555555554,0.020045664793881215,13532957.539391885,2357792.5393918846,141.99292619041762,814,141,BUY
A1,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,772.0,12330.0,0.08092733734012832,0.1411111111111111,0.13405555555555554,0.05312821821542722,15767757.866997885,6248997.866997885,506.8124790752542,1278,506,BUY
A1,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1092.0,10225.0,0.09492942048530173,0.053333333333333316,0.050666666666666645,-0.044262753818635085,5959467.540282663,-5206232.459717337,-509.16698872541195,582,-510,SELL
A1,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,462.0,21135.0,0.08301548362431962,0.034444444444444444,0.03272222222222222,-0.0502932614020974,3848822.786432555,-5915547.213567445,-279.89340967908424,182,-280,SELL
A1,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,388.0,22610.0,0.07458425611497682,0.09555555555555553,0.09077777777777775,0.016193521662800928,10677379.34300644,1904699.3430064395,84.2414570104573,472,84,BUY
A1,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,868.0,4805.0,0.03545912313557299,0.007777777777777776,0.007388888888888887,-0.028070234246684107,869089.0162912218,-3301650.9837087784,-687.1281964014107,180,-688,SELL
