strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,side
A1,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,587.9967465471549,22610.0,0.1206916434641496,0.1122222222222222,0.1066111111111111,-0.0140805323530384,11743586.578251394,-1551019.8611797784,-68.59884392657136,SELL
A1,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,3509.9735117797186,4805.0,0.1531083748558504,0.0,0.0,-0.1531083748558504,0.0,-16865422.724101547,-3509.9735117797186,SELL
A2,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,0.0,17765.0,0.0,0.25,0.2375,0.2375,24558551.35078418,24558551.35078418,1382.4121221944374,BUY
A2,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,0.0,124335.0,0.0,0.25,0.2375,0.2375,24558551.35078418,24558551.35078418,197.51921301953735,BUY
A2,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,0.0,16605.0,0.0,0.25,0.2375,0.2375,24558551.35078418,24558551.35078418,1478.9853267560482,BUY
A2,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,0.0,12330.0,0.0,0.25,0.2375,0.2375,24558551.35078418,24558551.35078418,1991.7722101203717,BUY
A2,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,4007.444971167335,10225.0,0.3962705091258742,0.0,0.0,-0.3962705091258742,0.0,-40976124.830186,-4007.444971167335,SELL
A2,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,427.0974120013208,21135.0,0.0872951389724551,0.0,0.0,-0.0872951389724551,0.0,-9026703.802647917,-427.0974120013209,SELL
A2,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,881.9951198207322,22610.0,0.1928535391358139,0.0,0.0,-0.1928535391358139,0.0,-19941909.659146752,-881.995119820732,SELL
A2,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,5923.080301128273,4805.0,0.2752338729021974,0.0,0.0,-0.2752338729021974,0.0,-28460400.846921355,-5923.080301128273,SELL
A3,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,0.0,17765.0,0.0,0.2,0.19,0.19,20042570.68300031,20042570.68300031,1128.2054986209014,BUY
A3,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,0.0,124335.0,0.0,0.35,0.3324999999999999,0.3324999999999999,35074498.69525054,35074498.69525054,282.0967442413684,BUY
A3,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,0.0,16605.0,0.0,0.3,0.285,0.285,30063856.024500467,30063856.024500467,1810.5303236675984,BUY
A3,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1343.6410471863503,12330.0,0.1570531011729606,0.15,0.1425,-0.0145531011729606,15031928.012250232,-1535166.099557469,-124.50657741747516,SELL
A3,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,4007.444971167335,10225.0,0.388446364534406,0.0,0.0,-0.388446364534406,0.0,-40976124.830186,-4007.444971167335,SELL
A3,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,213.5487060006604,21135.0,0.0427857720855587,0.0,0.0,-0.0427857720855587,0.0,-4513351.901323958,-213.54870600066045,SELL
A3,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,440.9975599103661,22610.0,0.0945228757120363,0.0,0.0,-0.0945228757120363,0.0,-9970954.829573376,-440.997559910366,SELL
A3,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,5923.080301128273,4805.0,0.2697995305313587,0.0,0.0,-0.2697995305313587,0.0,-28460400.846921355,-5923.080301128273,SELL
A4,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,263.20205833691824,18975.0,0.0463001099962325,0.0344444444444444,0.0327222222222222,-0.0135778877740103,3529651.5431590416,-1464607.513783982,-77.18616673433371,SELL
A4,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,239.49635323632228,17765.0,0.0394434662810844,0.141111111111111,0.1340555555555555,0.094612089274471,14460185.3542322,10205532.638988934,574.474114212718,BUY
A4,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,9.47170620426268,124335.0,0.0109177356392556,0.2716666666666666,0.2580833333333333,0.2471655976940776,27838703.30007696,26661038.70916996,214.4290723381989,BUY
